JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
JournalInstructions_KBM |= <calendar> 를 사용하여 달력을 열거나 화면 왼쪽 하단의 [달력] 아이콘을 클릭합니다.
MapInstructions_PAD |= <map> 로 지도를 엽니다.
MapInstructions_KBM |= <map> 로 지도를 열거나 화면 왼쪽 하단의 지도 아이콘을 클릭합니다.
InventoryInstructions_PAD |= <inventory> 로 가방을 엽니다.
InventoryInstructions_KBM |= <inventory> 로 가방을 열거나 왼쪽 하단의 깜빡이는 아이콘을 클릭합니다.
SkillInstructions_PAD |= <progress> 로 진행 상황 및 스킬 정보를 엽니다.
SkillInstructions_KBM |= <progress> 로 진행 상황 및 스킬 정보를 열거나 화면 왼쪽 하단의 트리 아이콘을 클릭합니다.
Mapstone |= Mapstone
GoddessStatueInstructionsTitle |= 여신상
GoddessStatueInstructions |= 발견한 여신상 사이를 1개의 <item:Apple> 비용으로 빠르게 이동할 수 있습니다.\n여신의 날(7일 또는 14일)에 방문하여 제물을 바치고 축복을 받으세요!
MovementInstructionsTitle |= 이동
MovementInstructions |= <up><left><down><right> 을 누르면 이동합니다. <run> 를 누르면 걷습니다. <pause> 옵션 화면에서 '기본 속도'를 변경할 수 있습니다.
StatusInstructionsTitle |= 상태
StatusInstructions_PAD |= 상태 탐색을 통해 자신과 마주친 마을 주민에 대한 정보를 확인할 수 있습니다. <NPCstatus> 로 상태 정보를 엽니다.
StatusInstructions_KBM |= 상태 탐색을 통해 자신과 마주친 마을 주민에 대한 정보를 확인할 수 있습니다. <NPCstatus> 로 내 상태 정보를 열거나 왼쪽 하단의 깜박이는 아이콘을 클릭합니다.
ThattawayInstructions |= 저널에 활성 작업이 설정되어 있는 상태에서, <thatterway> 를 누르면 어디로 가야 할지 안내를 받을 수 있습니다. 그러면 목표가 있는 영역으로 이동하는 데 도움이 됩니다.
DandelionInstructions |= 민들레를 따면 화면 오른쪽 상단에 시계가 나타납니다(아직 시계가 없는 경우).\n가장 큰 씨앗이 현재 시간을 가리키며, 아래를 가리키면 6입니다.\n민들레 시계는 12시간 동안 지속되지만 더 따서 보충할 수 있습니다.\n나중에 더 좋은 시계가 나올 수 있지만 지금은 자연이 당신을 도울 수 있습니다.
Uncle BillDay2 |= 좋은 아침! 투덜대는 걸 보니 재미있는 꿈을 꾸었나 보구나.
Uncle BillDay2 |= 오늘은 할 일이 많구나. 먹일 입이 많으니 오래된 잡초를 제거해야지. 낡은 낫이 녹슬어서 새 낫이 필요하구나. 캔들위치 마을의 대장장이에게서 새 낫을 살 수 있단다. 서문이나 남문으로 나가보렴.
Uncle BillDay2 |= 내가 만든 파이를 가지고 잡화점에 있는 이카보드에게 팔렴. 그는 상품을 판매할 수 있는 특별 판매 유닛을 가지고 있단다. 그 돈으로 대장간에서 제프리에게 낫을 살 수 있어. 그런 다음 다시 돌아와서 집 옆의 잡초를 베고 오래된 물 뿌리개를 되찾아 오려므나! 보상으로, 글쎄, 기다려 보렴(윙크). 계획이 있단다!
Uncle BillDay2 |= 길을 잃으면 표지판을 보고 운이 좋으면 새터웨이를 발견할 수 있으니 조심해서 가렴!
