CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 돈이 더 많았으면 좋겠어.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 더 많이 벌려고 노력해야해.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 우리가 브라스에서 수영하는 꿈을 계속 꾸고 있어.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 요즘 우리는 돈이 좀 부족해.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 우리는 더 잘해야 해.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 나는 브라스를 벌 수 있는 배우자를 원해.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= 이게 인생이야. 우리만의 공간에서 편안하게 지내는 것.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= 인생에서 정말 어딘가에 도달할 수 있다고 느껴.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= 돈이 좀 있다는 건 좋은 일이지.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= 좋은 농장. 약간의 브라스. 기대가 커!
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= 아, 소박한 삶이이야.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 난 부자가 되고 싶어.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 돈이 너무 많으면 더 많은 것을 원하게 되는 게 문제야.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 나한테 좋은 거 사줄 수 있어? 우리에게 돈은 충분해!
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 돈으로 말해. 말 그대로는 아니지.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 난 내가 돈 기계와 결혼하게 될 줄은 꿈에도 몰랐어.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 내가 금을 캐는 사람이라고 생각해?
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 부자의 세계에서 돈은 재미있지.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 멋진 브라스, 얼굴이 부끄러워. 농담이야.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= 난 내가 부자라서 좋아. 그러니까 우리 말이야.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= 선탠할 시간이야!
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= 오늘은 오븐이 꺼진 것 같아!
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 또 비가 오는 것 같아.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 온몸을 적시는 안개비네.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 봄 소나기는 몇 시간 동안 지속되지.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 아, 비! 씻어야겠어.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 비가 그쳤어. 한 시간 후에 다시 와.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= 폭우 속에서 노래하고 있어!
CONTEXTDIALOGUE_SPOUSE_WEATHER_STORM |= 바람이 심하게 불고 있어. 그 양배추 때문이었나 봐.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= 겨울의 입김이 너무 상쾌해.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= 눈이 왜 하얄까?
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= 눈송이는 여신이 밀가루를 체로 치는 거야.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= 아침의 서리 냄새가 좋아.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= 얼음은 좋지만 바람이 부네.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= 으아아, 안개가 꼈어! 오늘 밤에는 용이 나오겠어!
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= 내가 안개를 뿌려줄게.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= 우우, 으스스해.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= 안개 속에서 저 소리 들었어? 나도 들었어.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 좋네.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 이보다 더 좋은 휴식은 없지.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 혼자만의 시간이 좋아.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 아, 멋지고 편안해.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 혼자 생각에 잠기는 게 좋아.
