WFIntroT1 |= 여기 있었구나!
WFIntroT2 |= 이쪽으로 와!
WeddingT1 |= We are here this day to unite two lovers under the Eyes of the Goddesses.
WeddingT2 |= Let there be peace in the winds.
WeddingT3 |= North, south, east and west.
WeddingT4 |= Under Goddesses fair, we bind these souls.
WeddingT5 |= Spirits of stone and mud.\nSpirits of Earth, Wind and Fire.
WeddingT7 |= Chase the clouds away and steal the night.
WeddingT8 |= With ringing hearts and singing souls.
WeddingT9 |= Come forth Gof, wielder of hammers!
WeddingT10 |= Come forth Cisson, purveyor of stars!
WeddingT11 |= Come forth Dian, healer of worlds!
WeddingT12 |= Come forth Suclus, Spirit of merriment.
WeddingT13 |= Come forth Bangais, protector and guardian.
WeddingT14 |= The ancients have given their blessing! May they aid this couple until death separates them.
WeddingT15 |= Now we unite you in eternal partnership.
WeddingT16 |= The tree bears a branch.\nThe branch bears a fruit.\nThe fruit bears a seed.\nThe seed enters the soil.
WeddingT17 |= The soil bears a tree.\nThe tree bears a branch.
WeddingT18 |= Unite now and complete the circle.\nThe Bands have been bound.
WeddingT19 |= The Words have been spoken.\nThe flame ignites.\nThe hearth is now lit.
FuneralT1 |= You believed in us.
FuneralT2 |= All we wanted was to make you proud.
FuneralT3 |= Perhaps you will both find each other in the woods and run together.
FuneralT4 |= I will join you one day.
FuneralT5 |= Thank you for everything you did for us.
FuneralT6 |= May the waters take you well.
FuneralT7 |= Goddesses bless you.
SummertideYear1T1 |= Welcome, good folk of the Vale. Summertide is here!
SummertideYear1T2 |= Huzzah
SummertideYear1T2 |= Hooray
SummertideYear1T2 |= Yay!
SummertideYear1T3 |= This glorious day is when Druida, Goddess of the Vale, stands above all others and opens Her arms to our humble offerings.
SummertideYear1T4 |= The day we celebrate the end of the Season of the Sun and ask for blessings so that we can taste the fruitful harvests.
SummertideYear1T5 |= Hail the Queen of the Orchard!
SummertideYear1T6 |= As Druida watches over us, Her love will bring growth, it will stave off hunger, it will protect us from disease and from the cold winters to come.
SummertideYear1T7 |= Now, let us speak the Summertide prayer.
SummertideYear1T8 |= Oh, Goddess of the orchards.
SummertideYear1T9 |= The tide of summer fades.
SummertideYear1T10 |= Bestow your fruits on us who offer our thanks.
SummertideYear1T11 |= We of Vale.
SummertideYear1T12 |= We of Quill.
SummertideYear1T13 |= We who bow to Druida's will.
SummertideYear1T14 |= The Seeds of Summertide step forth and prepare for the Choosing.
SummertideYear1T15 |= As you know, only one may present our tributes to Druida. Only one may be chosen for the greatest honour in the Vale.
SummertideYear1T16 |= Now, as is our custom, let the gaze of Druida fall upon the arbiter.
SummertideYear1T17 |= Druida has chosen one of the twins! Oh, glorious day! Tell us, child. Which one shall be our Summertide herald?
SummertideYear1T17Alt |= Druida has chosen! Oh, glorious day! Tell us, arbiter. Which one shall be our Summertide herald?
SummertideYear1T18 |= Huzzah
SummertideYear1T18 |= Hooray
SummertideYear1T18 |= Yay!
SummertideYear1T19 |= Very well! Step into the Woodfellow Herald! You leave this life a blessed soul, ready to take our offerings into Opal, where you will feel Druida's embrace!
SummertideYear1T20 |= Bathe in her purifying light! Oh, glory to the Goddess!
SummertideYear1T21 |= They're gone! And they made you choose! I don't believe it.
