SiblingHouse |= Meet your sibling
SiblingHouseNamed |= Meet your sibling, <VAR1>
SiblingHouseDescription |= Head to Stonecrown, north of Outlane in Mellowfields and find your sibling's house.

AnnualCompetition_ThemePopup |= This year's <VAR1>theme is <VAR2>.
AnnualCompetition_Theme_MADE_BREAD |= Bread
AnnualCompetition_Theme_MADE_JAM |= Jam
AnnualCompetition_Theme_MADE_PIES |= Pies
AnnualCompetition_Theme_MADE_PUDDING |= Pudding
AnnualCompetition_Theme_MADE_SANDWICH |= Sandwiches
AnnualCompetition_Theme_MADE_SOUP |= Soup
AnnualCompetition_Theme_MADE_STEW |= Stew
AnnualCompetition_Theme_MADE_FISH |= Fish
AnnualCompetition_Theme_MADE_VEG |= Vegetables
AnnualCompetition_Theme_MADE_MATERIALS |= Flowers

CookingFayreT1 |= I see that we have everyone gathered for this year's Festfield Food Festival.
CookingFayreT2 |= We've had some great entries this year, but we can only have one winner! First though, today's runner ups...
CookingFayreT3 |= We're now down to the final 3...
CookingFayreT4 |= I'm pleased to announce that this year's champion is...
CookingFayreT5 |= Congratulations to you all. What a feast of food we have witnessed today!
CookingFayreT6 |= I thank everyone for attending and look forward to seeing you again next year!
BakeOff_Task |= Festfield Food Festival
BakeOff_TaskDesc |= The theme of this year's Festfield Food Festival is <CompetitionTheme>, place 3 items that match this theme in the competition tent before 3pm. Then return between 3pm and 8pm and speak to the Master of Events to join the results ceremony.
FESTFIELD_FOOD_FESTIVAL |= Festfield Food Festival
FestfieldFoodFestival |= Festfield Food Festival
FestfieldFoodFestivalDesc |= Speak to the Master of Events in FestField before 3pm to enter the cooking festival.
AnnualCompetition_Name_BakeOff |= Festfield Food Festival
AnnualCompetition_Date_BakeOff |= the 12th day of Summer
AnnualCompetition_Location_BakeOff |= Festfield
Master of EventsBakeOff_Intro |= Hoho! A hearty welcome to this year's Festfield Food Festival.
Master of EventsBakeOff_Intro |= Each talented competitor must select their 3 most remarkable recipes, and place them on the cushions hither.
Master of EventsBakeOff_Intro |= These items will be judged on Star Rating and Variety, but MUST fit the criteria of this year's theme. Failing to do so will result in no points and great disappointment for us all!
Master of EventsBakeOff_Intro |= The competition deadline is 3pm on the dot, so be sure to return before then to display your fabulous items.
Master of EventsBakeOff_Intro |= Results will be announced after 3pm, but my dinner is ready at 8pm so be sure to check in before then!
Master of EventsBakeOff_Intro |= So, without further ado. This year's theme is...
Master of EventsBakeOff_Repeat |= Hoho! A hearty welcome to this year's Festfield Food Festival.
Master of EventsBakeOff_Repeat |= Each talented competitor must select their 3 most remarkable recipes, and place them on the cushions hither.
