FAMILYVISIT_GENERAL |= I like your décor.
FAMILYVISIT_GENERAL |= Nice decorating.
FAMILYVISIT_GENERAL |= Ah, it's good to be back.
FAMILYVISIT_GENERAL |= This brings back memories.
FAMILYVISIT_GENERAL |= Nice to be here.
FAMILYVISIT_GENERAL |= Hope you don't mind the visit.
FAMILYVISIT_GENERAL |= Good to see the place again.
FAMILYVISIT_GENERAL |= Good to see you again.
FAMILYVISIT_GENERAL |= Ahhh, memories.
FAMILYVISIT_GENERAL |= How have you been keeping?
FAMILYVISIT_GENERAL |= Always liked the air in this place.
FAMILYVISIT_GENERAL |= I miss being here.
FAMILYVISIT_GENERAL |= Missing you.
FAMILYVISIT_GENERAL |= Hope I can come again.
FAMILYVISIT_GENERAL |= Great to see you.
FAMILYVISIT_GENERAL |= Ahhh, love it here.
FAMILYVISIT_GENERAL |= Appreciate you letting me visit.
FAMILYVISIT_GENERAL |= Good to see you and the farm.

FAMILYVISIT_KYNSEED_TREE |= That tree is beautiful.
FAMILYVISIT_KYNSEED_TREE |= Growing nicely!
FAMILYVISIT_KYNSEED_TREE |= That will have very deep roots.
FAMILYVISIT_KYNSEED_TREE |= Love the colours.
FAMILYVISIT_KYNSEED_TREE |= Such foliage!
FAMILYVISIT_KYNSEED_TREE |= The seed grows...
FAMILYVISIT_KYNSEED_TREE |= A beautiful family tree.

FAMILYVISIT_JETTY |= Love this area.
FAMILYVISIT_JETTY |= The lavender smells wonderful.
FAMILYVISIT_JETTY |= You used to sleep here?
FAMILYVISIT_JETTY |= Such a relaxing river.
FAMILYVISIT_JETTY |= Love windmills.

FAMILYVISIT_HENGE |= Always creepy.
FAMILYVISIT_HENGE |= What's that whispering?
FAMILYVISIT_HENGE |= Never liked this.
FAMILYVISIT_HENGE |= Am sure I saw something.

FAMILYVISIT_POND |= Still full of fish.
FAMILYVISIT_POND |= I always liked this pond.
FAMILYVISIT_POND |= My favourite pond.
FAMILYVISIT_POND |= Brings back memories of watching fish.

FAMILYVISIT_TWIG_BRIDGE |= Is Twig still around?
FAMILYVISIT_TWIG_BRIDGE |= Always liked the Nook.
FAMILYVISIT_TWIG_BRIDGE |= Good old Twig.
FAMILYVISIT_TWIG_BRIDGE |= I should learn to fish one day.
FAMILYVISIT_TWIG_BRIDGE |= Quiet in the Nook.

FAMILYVISIT_MINE |= Did you ever go in there?
FAMILYVISIT_MINE |= I am not keen on dark places.
FAMILYVISIT_MINE |= I just heard knocking.
FAMILYVISIT_MINE |= I am not going in there.

FAMILYVISIT_OBJECT |= Wow! You have a {OBJECT_NAME}.
FAMILYVISIT_OBJECT |= I like your {OBJECT_NAME}.
FAMILYVISIT_OBJECT |= Oh! {OBJECT_NAME}!
FAMILYVISIT_OBJECT |= I see you have {OBJECT_NAME}.
FAMILYVISIT_OBJECT |= Was {OBJECT_NAME} expensive?
FAMILYVISIT_OBJECT |= That {OBJECT_NAME} really ties the farm together.
FAMILYVISIT_OBJECT |= That {OBJECT_NAME} is nice.
FAMILYVISIT_OBJECT |= Ooh! {OBJECT_NAME} there I see.
FAMILYVISIT_OBJECT |= I would like a {OBJECT_NAME} for my house one day.

FAMILYVISIT_HOW_ARE_YOU |= I am good, thank you. It's lovely to be back here, reminiscing. I miss the place.
FAMILYVISIT_HOW_ARE_YOU |= I've been better, but coming here is a breath of fresh air. It always did have a nice smell about it.
