FNF_CIRCLE_SOUTH_BRIDGE_NAME |= Circle South Bridge
FNF_CRYPT_REPAIR_NAME |= Burial Grounds Crypt 
FNF_DROWNHILL_BRIDGE_NAME |= Drownhill Bridge
FNF_FESTIVAL_GREEN_STALL_1_NAME |= Festival Green Stall 1
FNF_FESTIVAL_GREEN_STALL_2_NAME |= Festival Green Stall 2
FNF_FINE_FAYRE_STALL_1_NAME |= FineFayre Stall 1
FNF_FINE_FAYRE_STALL_2_NAME |= FineFayre Stall 2
FNF_FIX_COW_SHED_NAME |= The Shoe Cow Shed
FNF_FIX_MOSSWHISPER_BRIDGE_NAME |= Mosswhisper Bridge
FNF_FIX_BLOCKAGE_NAME |= Cunning Plots Blockage
FNF_FIX_GREENHOUSE_1_NAME |= Marshtyt's Greenhouse 1
FNF_FIX_GREENHOUSE_2_NAME |= Marshtyt's Greenhouse 2
FNF_FIX_GREENHOUSE_3_NAME |= Marshtyt's Greenhouse 3
FNF_FIX_GREENHOUSE_4_NAME |= Marshtyt's Greenhouse 4
FNF_FREYL_WINDMILL_NAME |= Freyl's Field Windmill
FNF_GODDESS_STATUE_RIVERMOOR_NAME |= Rivermoor Goddess Statue 
FNF_GODDESS_STATUE_SHINGLES_NAME |= Shingles Goddess Statue 
FNF_GODDESS_STATUE_STONECROWN_NAME |= Stonecrown Goddess Statue 
FNF_REPAIR_BAD_MANOR_NAME |= Bad Manor
FNF_REPAIR_BEULAH_NAME |= Beulah
FNF_REPAIR_BRIDGE_THE_CIRCLE_NAME |= Circle North Bridge
FNF_REPAIR_CIDER_RULES_HOUSE_NAME |= Cider Rules House
FNF_REPAIR_COMPLAINT_HOUSE_NAME |= Complaint Lodge
FNF_REPAIR_CUCKOO_CABIN_NAME |= Cuckoo Cabin
FNF_REPAIR_FISHSLAP_HOUSE_NAME |= Fishslap House
FNF_REPAIR_HARMONY_HOUSE_NAME |= Harmony House
FNF_REPAIR_HISTORY_HOUSE_NAME |= History House
FNF_REPAIR_HOUSE_OF_VISION_NAME |= House of Vision
FNF_REPAIR_KEEPERS_COTTAGE_NAME |= Keeper's Cottage
FNF_REPAIR_KOOKY_BURROWS_NAME |= Kooky Burrows
FNF_REPAIR_PEBBLEY_MILL_NAME |= Pebbley Mill
FNF_REPAIR_RUFENFLAW_NAME |= Rufenflaw
FNF_REPAIR_SHAME_MEADOWS_NAME |= Shame Meadows
FNF_REPAIR_SPOUTALOT_NAME |= Spoutalot
FNF_REPAIR_THE_BOILER_NAME |= The Boiler House
FNF_REPAIR_THE_LOVE_SHACK_NAME |= The Love Shack
FNF_REPAIR_THE_OLDE_SMOKE_HOUSE_NAME |= The Olde Smoke House
FNF_REPAIR_STAGE_NAME |= FestField Stage 
FNF_TG_STATUE_NAME |= Twanging Gardens Statue
FNF_WF_WINDMILL_NAME |= Willowdown Windmill
FNF_TNN_GREENHOUSE_NAME |= Fairy Greenhouse
FNF_EVER_GREENHOUSE_NAME |= Evergreenhouse

FNF_ALTER_NAME |= Altar
FNF_CHICKEN_COOP_NAME |= Chicken Coop
FNF_COW_COMPOSTER_NAME |= Pig Composter
FNF_SHEEP_COMPOSTER_NAME |= Sheep Composter
FNF_COW_SHED_NAME |= Cow Shed
FNF_GREENHOUSE_NAME |= Greenhouse
FNF_PIG_PEN_NAME |= Pig Pen
FNF_SHEEP_PEN_NAME |= Sheep Pen
FNF_TOOLSHED_NAME |= Tool Shed

FNFCONVERSATION_HOUSE_1 |= We're makin' great progress! The fireplace is all cleaned and safe now!
FNFCONVERSATION_HOUSE_1 |= Aye, and I polished up all the brass fixtures. No more tarnish in this lovely home!

FNFCONVERSATION_HOUSE_2 |= By the Goddesses, we're quite the DIY squad!
FNFCONVERSATION_HOUSE_2 |= No kiddin'! Can't wait for 'em to see their shiny, updated home; they'll be on cloud nine!

FNFCONVERSATION_HOUSE_3 |= Pass me a cuppa, will ya? All this work's got me parched.
FNFCONVERSATION_HOUSE_3 |= Cuppa? More like a cup-pa good times!

FNFCONVERSATION_HOUSE_4 |= We're makin' headway! Those wonky doors are now straight as an arrow!
FNFCONVERSATION_HOUSE_4 |= Aye, and I tightened all the loose hinges. No more squeaky-squeaky in this place!

FNFCONVERSATION_HOUSE_5 |= By the Goddesses, we're like a well-oiled machine!
FNFCONVERSATION_HOUSE_5 |= Can't wait to show 'em their good-as-new home; they'll be chuffed!

FNFCONVERSATION_HOUSE_6 |= Hand me that there saw, would ya kindly?
FNFCONVERSATION_HOUSE_6 |= A saw? Saw-weet!

FNFCONVERSATION_HOUSE_7 |= Roof's lookin' better already! How's the paint job coming along, friend?
FNFCONVERSATION_HOUSE_7 |= Smashing! This house'll look as good as new.

