GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= 안녕하세요! 만나서 반갑습니다. 제 이름은 {FULLNAME}입니다. 최근에 지역 상품 상점을 인수했으니 많은 성원 부탁드립니다!
GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= Hello. I don't believe we've met before. If you often frequent the village Goods Store I'm sure you've noticed it is under new stewardship. I recently moved here, and it seems a fine place to do business.
GEN_NPC_STORY_TRADER_INTRO_1_PIOUS |= I hope I find you in good spirits. It seems the Goddesses have blessed us with a grand day for our first meeting. My name is {FULLNAME}, and I'm the new proprietor of this fine local store.

GEN_NPC_STORY_TRADER_INTRO_2_GENERIC |= There are so many people here I'm finding it a little hard to keep track of who is who, but I'm sure I'll pick it up.
GEN_NPC_STORY_TRADER_INTRO_2_GENERIC |= It's been a little stressful getting things up and running here, but I couldn't have picked a better spot. And I don't mean the one on my nose.
GEN_NPC_STORY_TRADER_INTRO_2_COMPLAINER |= I got jumped by a few Hobs on my first week gathering supplies and lost most of my stock. Those nasty little pests need a good hiding, but I'm not sure if it's worth the effort, and I'm not the best fighter around.
GEN_NPC_STORY_TRADER_INTRO_2_JOVIAL |= The people of this village have been ever so kind to me since I set up shop. I couldn't have asked for a better welcome. Well, I could have, but I am on a diet.

GEN_NPC_STORY_TRADER_FRIENDLY_1_GENERIC |= It's been great getting to know everyone around the haven. Working the shop daily has really helped with socialising. I've met some nice people from around here aaaand some not so nice.
GEN_NPC_STORY_TRADER_FRIENDLY_1_GENERIC |= Things are looking up; I've been getting a fair number of customers.
GEN_NPC_STORY_TRADER_FRIENDLY_1_COMPLAINER |= Why is it so hard to gather good items for the store? Those creatures in Simplewood just jealously guard the goods that are in there. It's tough enough living at times as it is without silly little monsters wanting to hold onto their bodily parts and all that loot.
GEN_NPC_STORY_TRADER_FRIENDLY_1_PIOUS |= All it took for this endeavour to flourish was a little faith. I was never confident that I could run a business independently, but with the Goddesses watching over me, I feel like I can achieve anything.
GEN_NPC_STORY_TRADER_FRIENDLY_1_JOVIAL |= It's always great to see you. Running this store brings me such joy. I know why they call it running a store now; I am always running around! The stories I hear, the friends I make, it's all so endlessly inspiring. Each day brings something new and fresh, and not just the produce.

GEN_NPC_STORY_TRADER_FRIENDLY_2_GENERIC |= In a few more seasons I really feel like I could turn this place into something special. It's been my dream to run a successful Goods Store. It's the Quillian dream, capitalism. That's where you put your name above your shop in BIG LETTERS.
GEN_NPC_STORY_TRADER_FRIENDLY_2_GENERIC |= I need to get myself involved with the community a bit more. Not just because it's good for sales, but the people around here are really growing on me. Not literally.
GEN_NPC_STORY_TRADER_FRIENDLY_2_BOASTFUL |= I put that down to the high-quality goods I sell here. It takes a little more effort to get the goods to the store but I think it's worth it. The sales speak for themselves. Well, they would if they could speak.
GEN_NPC_STORY_TRADER_FRIENDLY_2_QUIRKY |= That's not all. I've been getting a little help from what I like to call my 'Unseen Friends'. They can be a little unpredictable sometimes, but it's nice to come to the store in the morning to discover some of my chores were done at night.

GEN_NPC_STORY_TRADER_LIKE_1_GENERIC |= Who would have thought that when I first came to this haven, I was only intending to stay a season or two? Having friendly folk like you around makes it much harder to leave.
GEN_NPC_STORY_TRADER_LIKE_1_GENERIC |= I feel like I've built a home for myself here now. My days as a travelling trader are long gone. As a valued member of this little village, I love that I can provide a service for the people here. At a price, of course.
GEN_NPC_STORY_TRADER_LIKE_1_JOVIAL |= Another glorious day, regardless of what anyone says, and another meaningful interaction with my good friend. I must say though, working the store and overhearing some of the gossip can make it hard to keep up a friendly smile. You should hear what some people say behind others' backs. It can feel petty at times but I put up with it because I know there are people out there like yourself who genuinely brighten my day. Do you want to buy a sick bucket?
GEN_NPC_STORY_TRADER_LIKE_1_QUIRKY |= I've always felt like a bit of an outsider. Some would say I'm away with the fae. Even the fae think that! Now I am amongst real people providing a meaningful service. I don't want to move away from my leftfield thoughts, but I do like visiting the other field to see how the other four-thirds live.

GEN_NPC_STORY_TRADER_LIKE_2_GENERIC |= It's thanks to people like you that I was encouraged to stay. I always had a wanderer's heart, but sometimes you see enough trees, that you yearn for some roots yourself.
GEN_NPC_STORY_TRADER_LIKE_2_GENERIC |= I think I'm ready to start putting down some roots and make my stay more permanent. I have you to thank for that.
GEN_NPC_STORY_TRADER_LIKE_2_COMPLAINER |= I just wish those Hobs would leave me alone. All I want to do is gather items. This isn't something I really tell people, but I lost my Uncle to one of these vile creatures not too long ago. If I'm being honest, it's part of the reason why I moved out here. To get away from seeing reminders of lost family, especially as they drove me up the wall.
GEN_NPC_STORY_TRADER_LIKE_2_BOASTFUL |= I've got to be honest with you for a moment. Most of the items I source for the store aren't hand-picked by myself. I have this presence in the community as a knowledgeable store owner but half the time I don't know what I'm talking about. I like to put on a bit of a front. I'm good, but I'm not THAT good.
GEN_NPC_STORY_TRADER_LIKE_2_PIOUS |= I know I have the Goddesses protecting me, but sometimes I wish my ancestors could be here to see all that I've achieved. I don't know if they would be proud or not but it would make me feel better if they knew I accomplished what I set out to do.

GEN_NPC_STORY_TRADER_START_COMPLAINER_1 |= Would you be able to give me some closure? I would give you a nice reward if you could beat up a few of those Hobs for me. I heard you are very handy with a sword. For the sake of giving you a target, let's say, kill 20 Hobs?
GEN_NPC_STORY_TRADER_TASK_NAME_COMPLAINER_1 |= Kill 20 Hobs and Return
GEN_NPC_STORY_TRADER_TASK_DESC_COMPLAINER_1 |= Kill a total of 20 Hobs in Simplewood. You can check progress with the onscreen counter while in combat.
GEN_NPC_STORY_TRADER_END_COMPLAINER_1 |= Thanks for taking the time to help out. I hope you gave them what for!

GEN_NPC_STORY_TRADER_START_COMPLAINER_2 |= I want to go and kill some Hobs, so I can be at peace with myself. However, the quality of weaponry available to buy is not very good at all. Could you make me a decent sword? And maybe a Charm to help me? I trust your craftsmanship.
GEN_NPC_STORY_TRADER_TASK_NAME_COMPLAINER_2 |= Gift {FULLNAME} Sword + Charm
GEN_NPC_STORY_TRADER_TASK_DESC_COMPLAINER_2 |= Gift any Sword and any Charm to the NPC who requested it. Swords and Charms can be bought, won, gifted or crafted in the Blacksmiths.
GEN_NPC_STORY_TRADER_END_COMPLAINER_2 |= That was great fun! That equipment was top-notch, and I got a few notches on my blade. Cheers!

GEN_NPC_STORY_TRADER_START_JOVIAL_1 |= Oh, I might be jollier than a jolly jelly but this constant gossiping and backstabbing is getting me down! I am a perky person and like to laugh, not frown. How about buying my Goods Store from me? I could give it to you for half price! I am happy to do that just to save my sanity from all these woe-mongers.
GEN_NPC_STORY_TRADER_TASK_NAME_JOVIAL_1 |= Purchase Goods Store
GEN_NPC_STORY_TRADER_TASK_DESC_JOVIAL_1 |= Buy the Goods Store owned by the NPC by interacting with the red Ledger on the shop counter and agreeing to buy.
GEN_NPC_STORY_TRADER_END_JOVIAL_1 |= You are a star and no mistake. You will make a great business owner! Just don't listen to the gossip!

GEN_NPC_STORY_TRADER_START_JOVIAL_2 |= Maybe I need to try a new marketing technique to bring in better clientele? Could you maybe give someone a top-quality sample and tell them this is where you got it?
GEN_NPC_STORY_TRADER_TASK_NAME_JOVIAL_2 |= Gift a 5-star item to any NPC
GEN_NPC_STORY_TRADER_TASK_DESC_JOVIAL_2 |= Gift, via chat gifting or interact wheel, any 5-star item you have.
GEN_NPC_STORY_TRADER_END_JOVIAL_2 |= That didn't actually help. Now I just get a better quality of gossip! But thanks for trying.

GEN_NPC_STORY_TRADER_START_BOASTFUL_1 |= Would you be a dear and help me get high-quality fish for my store? I think a prize item like that will draw attention and bring in the punters.
GEN_NPC_STORY_TRADER_TASK_NAME_BOASTFUL_1 |= Gift {FULLNAME} a 5-star fish
GEN_NPC_STORY_TRADER_TASK_DESC_BOASTFUL_1 |= Catch, buy, win or be gifted a 5-star fish of any type and gift it to the NPC who requires it. NOT 5 starfish, as there is no sea around Quill.
GEN_NPC_STORY_TRADER_END_BOASTFUL_1 |= Just what the fishmonger ordered! You have a great sole. Wahey! Not heard that one before, have you?

GEN_NPC_STORY_TRADER_START_BOASTFUL_2 |= I think what would really make my shop stand out more, are some top-tier meals. Freshly prepared, by you, and beautifully presented on my best plinths. That would really help arouse the nostrils of passers-by and lure them in.
GEN_NPC_STORY_TRADER_TASK_NAME_BOASTFUL_2 |= Gift {FULLNAME} a 5-star meal
GEN_NPC_STORY_TRADER_TASK_DESC_BOASTFUL_2 |= Cook, buy, be gifted or win a 5-star cooked item and gift it.
GEN_NPC_STORY_TRADER_END_BOASTFUL_2 |= A fine selection! You have my thanks and adoration.

GEN_NPC_STORY_TRADER_START_QUIRKY_1 |= Actually, I know of a place, written about in many books, where the fairer folk live. It's called Tir Na Nog. It is meant to be all pink waterfalls and strange trees and weird fruits. It is said there is a thing there called a Gummy Mushroom. I would love to have some of that to put on my prize plinth. If you ever come across any, I would trade you something good!
GEN_NPC_STORY_TRADER_TASK_NAME_QUIRKY_1 |= Deliver a Gummy Mushroom to {FULLNAME}
GEN_NPC_STORY_TRADER_TASK_DESC_QUIRKY_1 |= Get a Gummy Mushroom from Tir Na Nog and gift it to the NPC who asked for it.
GEN_NPC_STORY_TRADER_END_QUIRKY_1 |= Wonderful! You are the handiest person a person could hand tasks to.

GEN_NPC_STORY_TRADER_START_QUIRKY_2 |= I wish I could visit some of the places in my dreams. Do you have anything that would allow me to see beyond these walls? I would love you even more for it.
GEN_NPC_STORY_TRADER_TASK_NAME_QUIRKY_2 |= Apply Illusion to {FULLNAME}
GEN_NPC_STORY_TRADER_TASK_DESC_QUIRKY_2 |= Gift any item with the Illusions Trait to {FULLNAME}.
GEN_NPC_STORY_TRADER_END_QUIRKY_2 |= Woah! How long have you been a goat? Well, Mr Rainbow Goat, I thank you for the very shiny experience.

GEN_NPC_STORY_TRADER_START_PIOUS_1 |= I think my weakness is that I am sometimes too pious to barter properly. If I was stronger in that area, then I am sure I could make more sales and be a bit more a proper businessperson.
GEN_NPC_STORY_TRADER_TASK_NAME_PIOUS_1 |= Apply Barter to {FULLNAME}
GEN_NPC_STORY_TRADER_TASK_DESC_PIOUS_1 |= Gift any item with the Barter Trait to the NPC who requested it.
GEN_NPC_STORY_TRADER_END_PIOUS_1 |= Thanks for the help; it increased my profits, so I feel you are entitled to a share.

GEN_NPC_STORY_TRADER_START_PIOUS_2 |= This may sound like an odd request, but you could help massage my numbers and ego by purchasing everything in my shop. I will see you right, afterwards.
GEN_NPC_STORY_TRADER_TASK_NAME_PIOUS_2 |= Purchase every item in the Goods Store
GEN_NPC_STORY_TRADER_TASK_DESC_PIOUS_2 |= Purchase every item in the Goods Store owned by the task-giver NPC.
GEN_NPC_STORY_TRADER_END_PIOUS_2 |= Thanks for the help; it increased my profits, so here's your commission.

GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_GENERIC |= Greetings! I'm the new local Blacksmith. If you require anything to help your farming or decorate your outhouse, I'm here to help shape your needs.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_GENERIC |= Well met! I am a smith. No, not my surname. I like the smell of iron and sometimes burning myself on hot tongs. If you need anything metal, I'm your person.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_QUIRKY |= Oh, hello! Sorry, I was a bit distracted by your presence then. You seem to have an aura about you. I'm a new smithy around here, and I get the feeling knowing you may be a good thing, in time.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_PIOUS |= Greetings. I don't know you from Adam, but hopefully, the Goddesses smile on you too, as they do me. I'm a local smithy, and the toil of a hot forge purges us of ill thought.

GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_GENERIC |= I think that we all have much to learn, so hopefully over time, I can improve my craft and give you even better service.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_GENERIC |= I'm hoping to apply my knowledge of goods trading to the smithing business. I am of mind that the skills of one can pass to the other to the benefit of the business.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_COMPLAINER |= To be blunt, I am already finding it a struggle as the quality of ore I have to work with is pretty poor. Supplies are inconsistent and the goods stuff is usually protected by Knockers.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_JOVIAL |= I am just really happy to be back working within a community. I missed the tinkle of the shop bell and the happy faces of the local folk with each their own little quirks and customs.

GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_GENERIC |= How are things going on the farm? It's good to have friends when you have the toil of the soil.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_GENERIC |= Hey there, good friend. Have you been on any adventures lately? Mixing it up in Midwood? Roaming the moors like a ghostly hound? Lazing in lazy glades drinking lemonade lazily with a ladle?
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_QUIRKY |= Am happy to see you, friend. It is good to get to know people more. The more friends you can gain, the safer you feel. It's also really handy for when you want to sell stuff you can't offload otherwise.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_PIOUS |= Apologies for my previous introduction to you. I am a little suspicious about new people in my life. I love the Goddesses so much, so a stranger sort of throws me a bit.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_BOASTFUL |= Want to see my collection of crafted wonders sometime? My aim is to make my smithy the go-to place for quality ironware, copper and zinc goods, and eventually, gold and silver marvels.

GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_GENERIC |= You know what gets me up each morning? Apart from a bucket of cold water to the face? The thought of making useful items for people. I just like seeing their faces when I give them something to enhance their lives, at a reasonable markup.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_GENERIC |= I think I can really get stuck into making some top-quality weapons for the budding or seasoned adventurer. However, sometimes they literally are seasoned, in a Hag's pot with seven secret herbs and spices.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_COMPLAINER |= Have I complained to you much lately? Well, one complaint I have is that it is really hard to find good ore, without delving too deep into the mines. Ordered stock and the odd piece from traders are usually too expensive for the quality you get.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_JOVIAL |= I am so happy that I can do what I love, and that is working with my hands. I love getting them dirty as I craft beauty from raw, primal rock. Turning something that has laid deep in darkness for thousands of years, and giving it light and life.

GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_GENERIC |= I often wonder what people are doing with the items I crafted for them. Maybe bent over in the garden, inexplicably uprooting vegetables with a sickle. Or perhaps they are wiping Nymph blood from that sword I sharpened with my own sweat.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_GENERIC |= I really like you. You give me confidence in my job. I do hope the things I make really do cut it. One day I would love to forge something great.
