ModifierReward_SimShopDiscount |= 가게 할인
ModifierReward_PayForGift |= 아이템 구매
ModifierReward_NoStaminaLossAtFriendshipRating |= 근면가
ModifierReward_NeverUnhappyWithPayAtFriendshipRating |= 값싼 일꾼
ModifierReward_FaeShopDiscount |= 페이 할인

GoToRegionsTaskCounter |= 장소 방문하기: {COUNT}/{TOTAL}

GoddessOfferingTask_Name |= {GODDESS} 제물
GoddessOfferingTask_Desc |= {GODDESS}에게 바칠 제물 만들기.

BigRequest_AfterTheFollowing |= 다음과 같습니다:\n
LostItem_AfterFound |= 찾은 {ITEMTAG}을(를) {FULLNAME}에게 돌려주세요.

Noticeboard_ClearTotem_Name |= 사악한 토템 파괴
Noticeboard_ClearTotem_Pinned |=  {LEVELNAME}에서 토템을 파괴하기
Noticeboard_ClearTotem_Desc |= {LEVELNAME}에서 토템을 파괴하기.
Noticeboard_ClearTotem_Favour |= {LEVELNAME}에 있는 집 근처에서 홉들이 사악한 토템을 만드는 것을 본 적이 있는데, 그걸 조사해서 막아줄 수 있을까?

Noticeboard_LostItemBasic_Name |= 하나를 떨어뜨렸어!
Noticeboard_LostItemBasic_Pinned |= {FULLNAME}이(가) {LEVELNAME}에서 {ITEMTAG}을(를) 분실했습니다.
Noticeboard_LostItemBasic_Desc |= 제 분실물을 계속 눈여겨봐 주세요.\n
Noticeboard_LostItemBasic_Desc |= {FULLNAME}이(가) {LEVELNAME}에서 {ITEMTAG}을(를) 분실했습니다.
Noticeboard_LostItemBasic_Favour |= 좀 찾아봐주겠어요? 내 {ITEMTAG}을(를) 잃어버린 것 같아요. 내가 {LEVELNAME}에 있었을 때 사라진 것을 발견했어요. 감사해요.

Noticeboard_CookWantedBasic_Name |= 요리할 수 있어? 요리할 거야?
Noticeboard_CookWantedBasic_Pinned |= {INTERNAL}
Noticeboard_CookWantedBasic_Desc |= 견본에 직접 만든 음식이 필요해.\n{INTERNAL}
Noticeboard_CookWantedBasic_Favour |= 네가 요리에 관심이 많다고 들었어. 나에게 뭔가 만들어 줄 수 있을까?

Noticeboard_ItemWantedBasic_Name |= 아이템 구함
Noticeboard_ItemWantedBasic_Favour |= 도와줄래? {ITEMNAME}이(가) 정말 필요해.

Noticeboard_BigRequestBasic_Name |= 방해받았어!
Noticeboard_BigRequestBasic_Desc |= 아이템 묶음이 필요해. 적절한 보상을 줄게!\n{INTERNAL}
Noticeboard_BigRequestBasic_Favour |= 너무 정신이 없어! 물건이 많이 필요한데 그걸 모을 시간이 없어. 나를 도와주실 수 있어? 잘 갚을게!

Noticeboard_WinterFamine_Name |= 겨울철 필요 물품
Noticeboard_WinterFamine_Desc |= 겨울철 식료품 저장고에 필요한 품목이야.\n{INTERNAL}
Noticeboard_WinterFamine_Favour |= 겨울이 점점 더 혹독해지고 있어. 비축해야겠지. 여분의 {ITEMNAME}이(가) 있다면 기꺼이 구입할게.

Noticeboard_OreRush_Name |= 선택하기
Noticeboard_OreRush_Desc |= 광석이 필요해. 좋은 가격을 지불할게.\n{INTERNAL}
Noticeboard_OreRush_Favour |= 광석이 부족해. 광맥을 구할 수 있게 도와준다면 큰 돈을 줄게.

Noticeboard_ApothRequest_Level1_Name |= 의료품 부족
Noticeboard_ApothRequest_Level1_Desc |= 약재상에 재고가 부족해. 도와주면 보답할게.\n{INTERNAL}
Noticeboard_ApothRequest_Level1_Favour |= 약재상에 필요한 약 몇 가지 좀 가져다 줄 수 있을까? 요즘은 시간 내기가 점점 더 어려워지고 있어.

Noticeboard_ApothRequest_Level2_Name |= 재고 부족
Noticeboard_ApothRequest_Level2_Desc |= 도와줘! 약재상에 재료가 부족해. 도와줄 사람있어?\n{INTERNAL}
Noticeboard_ApothRequest_Level2_Favour |= 약재상에 괜찮은 품질의 약품이 좀 부족해. 재고를 좀 채워줄 수 있을까?

