ChallengeTextBuyShopBlacksmith |= 대장간 구입
ChallengeTextBuyShopApothecary |= 약재상 구입
ChallengeTextBuyShopGoodstore |= 잡화점 구입
ChallengeTextSpecialiseBlacksmith |= 대장장간 전문화
ChallengeTextSpecialiseApothecary |= 약재상 전문화
ChallengeTextSpecialiseGoodstore |= 잡화점 전문화
ChallengeTextSpecialiseThreeBlacksmith |= 서로 다른 전문화의 3개의 대장간 열기
ChallengeTextSpecialiseThreeApothecary |= 서로 다른 전문화의 3개의 약재상 열기
ChallengeTextSpecialiseThreeGoodstore |= 서로 다른 전문화의 3개의 잡화점 열기
ChallengeTextHireStaffBS |= 대장간 직원을 고용
ChallengeTextHireStaffAP |= 약재상 직원을 고용
ChallengeTextHireStaffGS |= 잡화점 직원을 고용
ChallengeTextLevelStaffBS |= 직원이 대장장이 기술을 레벨업하게 하세요.
ChallengeTextLevelStaffAP |= 직원이 약제사 기술을 레벨업하게 하세요.
ChallengeTextLevelStaffGS |= 직원이 잡화점 기술을 레벨업하게 하세요.
ChallengeTextRankBS |= 대장간 평판 <VAR1>등급 달성
ChallengeTextRankAP |= 약재상 평판 <VAR1>등급 달성
ChallengeTextRankGS |= 잡화점 평판 <VAR1>등급 달성
ChallengeTextMaxRankBS |= 4명의 대장장이 모두 최대 평판 획득
ChallengeTextMaxRankAP |= 4명의 약제사 모두 최대 평판 획득
ChallengeTextMaxRankGS |= 4명의 잡화점 모두 최대 평판 획득
ChallengeTextPerkCountBS |= 대장간 특전 잠금 해제 (<VAR1>/<VAR2>)
ChallengeTextPerkCountAP |= 약재상 특전 잠금 해제 (<VAR1>/<VAR2>)
ChallengeTextPerkCountGS |= 잡화점 특전 잠금 해제 (<VAR1>/<VAR2>)
ChallengeTextPerksBS |= 모든 대장간 특전 잠금 해제
ChallengeTextPerksWeaponsStore |= 모든 무기 상점 특전 잠금 해제
ChallengeTextPerksToolShop |= 모든 도구 상점 특전 잠금 해제
ChallengeTextPerksJewelryStore |= 모든 보석상 특전을 잠금 해제
ChallengeTextPerksAP |= 모든 약재상 특전을 잠금 해제
ChallengeTextPerksExoticCures |= 모든 이국적인 치료 특전을 잠금 해제
ChallengeTextPerksPotionShop |= 모든 물약상 특전을 잠금 해제
ChallengeTextPerksHerbalist |= 모든 약초사 특전 잠금 해제
ChallengeTextPerksGS |= 모든 잡화점 특전을 잠금 해제
ChallengeTextPerksFishmonger |= 모든 생선 장수 특전을 잠금 해제
ChallengeTextPerksBakery |= 모든 베이커리 특전을 잠금 해제
ChallengeTextPerksGreengrocer |= 모든 청과물 상인 특전 잠금 해제
ChallengeTextMineOre |= 광석 채굴 (<VAR1>/<VAR2>)
ChallengeTextCraft5StarWithItem |= <VAR1>로 5★ 아이템 제작
ChallengeTextCraft5StarItem |=  5★ <VAR1>제작 
ChallengeTextForge |= 아이템 단조 (<VAR1>/<VAR2>)
ChallengeCraftPowder |= 파우더 제작 (<VAR1>/<VAR2>)
ChallengeCraftCream |= 크림 제작 (<VAR1>/<VAR2>)
ChallengeCraftPotion |= 물약 제작 (<VAR1>/<VAR2>)
ChallengeCraftSoup |= 수프 제작 (<VAR1>/<VAR2>)
ChallengeCraftJam |= 잼 제작 (<VAR1>/<VAR2>)
ChallengeCraftStew |= 스튜 제작 (<VAR1>/<VAR2>)
ChallengeCraftPies |= 파이 제작 (<VAR1>/<VAR2>)
ChallengeCraftDessert |= 디저트 제작 (<VAR1>/<VAR2>)
ChallengeCraftBreads |= 빵 제작 (<VAR1>/<VAR2>)
ChallengeCraftSandwich |= 샌드위치 제작 (<VAR1>/<VAR2>)
ChallengeVisitLocation |= <VAR1>방문하기
ChallengeAcquireItem |= <VAR1>얻기
ChallengeAcquireItemWithQuantity |= <VAR3>얻기 (<VAR1>/<VAR2>)
ChallengeAcquireItemWithQuality |= <VAR1>★ <VAR2>얻기
ChallengeLegendarySword |= 전설적인 검 얻기
ChallengeDiscoverProverbs |= 잠언 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsFruitnVeg |= 과일과 채소 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsFish |= 생선 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsFlower |= 꽃 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsHerb |= 허브 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsMonster |= 몬스터 부속물 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverProverbsMisc |= 기타 잠언을 모두 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipes |= 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesSoup |= 모든 수프 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesJam |= 모든 잼 조리법 찾기 (<VAR1>/<VAR2>)
