Moth1 |= 베헤 모스
Moth2 |= 레피답터러
Moth3 |= 타퀸나방
Moth4 |= 나이트스토커
Moth5 |= 윈도우메이커
Moth6 |= 마나방
Moth7 |= 플릿스위치
Moth8 |= 후플 나방
Moth9 |= 에르쓰리 나방
Moth10 |= 지갑나방
Firefly1 |= 핫헤드
Firefly2 |= 레드 넬
Firefly3 |= 악마의 양초
Firefly4 |= 애벌레 램프
Firefly5 |= 글로우메이드
Firefly6 |= 플람버린
Firefly7 |= 필드 블레이즈
Firefly8 |= 평온 반딧불이
Firefly9 |= 리드 야 램프
Firefly10 |= 구근 베티
Wisp1 |= 경솔한 위습
Wisp2 |= 윌로위 위습
Wisp3 |= 글리머스킴
Wisp4 |= 마녀의 빛
Wisp5 |= 호비 랜턴
Wisp6 |= 가스 찰흙
Wisp7 |= 트월리투프트
Wisp8 |= 레벨 영혼
Wisp9 |= 마나 위슾
Wisp10 |= 브라이트 위습
Butterfly1 |= 완전한 나비
Butterfly2 |= 인슈어드 애드머럴
Butterfly3 |= 윈드슬리퍼
Butterfly4 |= 블루 밥
Butterfly5 |= 우드 플래퍼
Butterfly6 |= 캐터필록
Butterfly7 |= 효과 나비
Butterfly8 |= 너터플라이
Butterfly9 |= 푸파 스쿠퍼
Butterfly10 |= 리프멤버
Bee1 |= 꿀벌
Bee2 |= 철자 꿀벌
Bee3 |= 희비 지 꿀벌
Bee4 |= 투보르노토 꿀벌
Bee5 |= 혈액형 꿀벌
Bee6 |= 니베이비 꿀벌
Bee7 |= 영원 꿀벌
Bee8 |= 바다 꿀벌
Bee9 |= 렛 잇 비
Bee10 |= 앨드린스 부저
SpecialInsect1 |= 실버 스키퍼
