모 론INTRO |= 물건을 팔려고 온건 건 아니겠지? 우리는 필요한 모든 것을 갖추고 있어.
그린 론INTRO |= 좋은 하루. 나는 그린이야. 수상 경력이 있는 내 정원처럼 초록한 이름이지. 여기서 목소리를 낮추지 않았으면 좋겠네.
골디 론INTRO |= 넌 진짜 닌녹처럼 생겼어! 못생긴 몽둥이로 맞기 전에 못생긴 수풀에 끌려갔었어?
딕 터닙INTRO |= 프라일의 쓰레기더미에 뭘 원하는 거지? 내 인생의 폐허를 보러 왔나?
캣 터닙INTRO |= 안녕. 처음 보네. 여기 오래 있진 않을 거야. 그 론 가문이 들어온 후로 이곳은 우울해졌어. 끔찍한 놈들이지.
루카 터닙INTRO |= 안녕하세요. 아빠의 순무처럼 생겼네요. 제 이름은 루카 터닙이에요... "봐요! 순무야!"
토마스 스틸INTRO |= 여어 거기! 필요한 것이 있나? 퀼 최고의 대장장이. 우리의 모루가 준비되어있지.
스타 사파이어INTRO |= 안녕! 나는 스타야. 별로 유명하진 않지만. 내 여주인공 리릭처럼 음유시인이 되고 싶어. 리릭이 진짜 스타지!
레이크 그래스비어드INTRO |= 반가워. 나는 레이크 그래스비어드다. 너를 위해 그것을 구해줄 수 있는 사람이지. 나는 가게 주인이다. 수수하게 시작하여 독학했지.
스프라우트 어니언즈INTRO |= 안녕. 나는 레이크의 친구인 스프라우츠란다. 상점을 운영하며 퀼에서 잘 알려져 있지. 집안을 정리하는 일을 해. 필요한 게 있으면 레이크에게 말하렴. 그가 플랜을 들고 있는 사람이야.
은 리빙스턴INTRO |= 전투와 관련된 환상이 있니? 죽음의 함정을 발견한 적은? 내 작업장에 와봐. 게임으로 가득해! 인생은 하나의 거대한 롤플레잉 게임이잖아, 그렇지?
스티프 잭슨INTRO |= 낯선 사람을 만났을 때. 정중하게 '안녕하세요'라고 인사하나요? (27페이지로 넘기세요). 무시할까요? (101페이지로 넘기세요)
디 스펜서INTRO |= 어서 오렴, 어서 오렴! 새로운 얼굴을 보니 반갑네. 그리고 예쁘구나! 크림도 필요 없을 것 같네. 비결이 뭐니?
파파 러스 에버스INTRO |= 아! 집 짓는 사람! 좋은 일이네. 난 파파라고 한다. 난 나뭇잎 두 개를 서로 비빌수 있을 때부터 화학자였어. 방귀 꼈어? 심장이 안좋아? 내가 도와주면 절단할 필요도 없을거야!
마쉬티트INTRO |= 너에게 축복이 있기를. 나는 마스터 정원사 마쉬티트다. 그 끔찍한 게 뭔지는 모르겠지만 홉이 모든 걸 훔쳐갔어.
마쉬티트INTRO |= 감사의 표시로 언제든 돌아오면 내 정원에서 수확할 수 있을거다. 그리고 여기, 이 청사진을 가져가. 일 년 내내 식물을 키울 수 있도록 온실을 지을 수 있지.
마쉬티트INTRO |= 네가 마음만 먹으면 내 온실도 수리할 수 있어. 거기서 자란 것은 다 가져가게 해줄게.
마쉬티트INTRO |= 기술에 관해서는... 음, 내 요청사항을 전통적인 방식으로 가져다주면 정원이 순식간에 멋지게 피어날 수 있을 거야.
은둔자 프로그INTRO |= 비지 위지 짜릿해지자! 고슴도치 소스! 고슴도치 소스! 봉글 봉글 고슴도치! 뚱뚱한 소가 뿅뿅, 고슴도치 보잉, 피지 위지 바디! 우와, 나 완전 미쳤어. 오, 아니야. 그냥 너의 은둔자 같은 기대에 부응하려고 노력한 것뿐이야.
채식주의자 라니INTRO |= 좋아, 내 작은 순무! 이 근처에서 새로운 얼굴을 보니 반갑네. 길 건너편에 있는 늙은 양파 얼굴을 보는 것보다 훨씬 낫지! 양파 얼굴? 저기 강 건너에 있는 켄 틸러. 그 사람 때문에 다리가 막혔어.
켄 틸러INTRO |= 안녕, 내 작은 양파! 이 푸르고 쾌적한 땅에는 무슨 일로 왔어? 흠, 그의 펜촉이 못생긴 순무를 들고 다른 곳으로 떠난다면 훨씬 더 즐거울 거야. 가급적이면 북쪽으로 가.
켄 틸러INTRO |= 그의 펜촉? 저기 강 건너에 있는 베그 라니말야. 이 다리가 막힌 건 그놈 때문이야. 조만간 누군가 출입 문제를 해결해야 할 텐데, 하지만 나는 빼줘!
Pappy CoweBumpaINTRO |= 어이 너! 물어볼 게 있어. 문제가 생겼어. 난 우유를 좋아해. 젖소 우유도 괜찮지만 크림 같은 맛은 한계가 있어. 나에게 필요한 것은 우유를 짜기에 적합한 종류의 생물이야. 바로 네가 필요해.
Pappy CoweBumpaINTRO |= 네가 페이를 보고 찾아가는 방법을 안다는 소문을 들었어. 그리고 요정 생물인... 블로발로바바바 같은 바보 같은 존재가 있다는 것도 오래전부터 잘 알고 있어. 그 중 한 마리의 젖이 멜로우필드의 로네 젖보다 더 진하다고 하더라고. 죽어서 도룡뇽이 되어 돌아오기 전에 그 젖을 먹어보고 싶어.
Pappy CoweBumpaINTRO |= 그 중 하나에서 우유를 가져다 주면 내 가족 비밀 상자의 암호를 줄게. 내 끔찍한 가족은 내 가보를 손에 넣을 자격이 없어!

