GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= 안녕하세요! 만나서 반갑습니다. 제 이름은 {FULLNAME}입니다. 최근에 지역 잡화점을 인수했으니 많은 성원 부탁드립니다!
GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= 안녕하세요. 처음 뵙는 것 같네요. 마을 잡화점을 자주 방문하신다면 새로운 관리인이 운영 중인 것을 눈치채셨을 겁니다. 최근에 이곳으로 이사 왔는데 사업하기 좋은 곳인 것 같아요.
GEN_NPC_STORY_TRADER_INTRO_1_PIOUS |= 좋은 기분으로 만나길 바랍니다. 여신들이 우리의 첫 만남을 위해 멋진 날을 축복해 주신 것 같군요. 제 이름은 {FULLNAME}이고, 이 멋진 지역 상점의 새 주인이에요.

GEN_NPC_STORY_TRADER_INTRO_2_GENERIC |= 여기 사람이 너무 많아서 누가 누구인지 파악하기가 조금 어렵지만, 곧 알아낼 수 있을 거예요.
GEN_NPC_STORY_TRADER_INTRO_2_GENERIC |= 이곳에서 일을 시작하고 운영하는 데 약간의 스트레스가 있었지만, 이보다 더 좋은 장소를 선택할 수는 없었어요. 그리고 제 코에 있는 것을 말하는 게 아닙니다.
GEN_NPC_STORY_TRADER_INTRO_2_COMPLAINER |= 첫 주에 보급품을 수집하다가 홉 몇 마리에게 대부분의 보급품을 잃었습니다. 그 더러운 작은 해충들은 잘 숨을테지만, 찾을 가치가 있는지 잘 모르겠고, 나는 최고의 전사도 아닙니다.
GEN_NPC_STORY_TRADER_INTRO_2_JOVIAL |= 이 마을 사람들은 제가 가게를 차린 후로 항상 친절하게 대해주었습니다. 이보다 더 좋은 환영은 바랄 수 없었어요. 그럴 수도 있었지만 지금 다이어트 중이라서요.

GEN_NPC_STORY_TRADER_FRIENDLY_1_GENERIC |= 안식처의 모든 분들을 알게 되어 정말 좋았습니다. 매일 상점에서 일하면서 사교 활동에 큰 도움이 되었어요. 이곳에서 좋은 사람들을 만나기도 하고 그렇지 않은 사람들도 만났어요.
GEN_NPC_STORY_TRADER_FRIENDLY_1_GENERIC |= 상황이 좋아지고 있습니다. 손님이 꽤 많이 들어오고 있습니다.
GEN_NPC_STORY_TRADER_FRIENDLY_1_COMPLAINER |= 상점에 좋은 아이템을 모으기가 왜 이렇게 어려운가요? 심플우드에 있는 생명체들이 저 안에 있는 물건들을 질투심에 가득 차서 지키고 있어요. 신체 부위와 전리품에 집착하는 어리석은 괴물들 없이도 충분히 살기 힘들어요.
