Bubble_Name_Stove |= 스토브
Bubble_Desc_Stove |= 스토브는 다양한 요리법을 요리하고 구울 수 있는 곳입니다. 조리된 음식은 날 음식보다 특성 효과가 더 강하고 별 등급에 따라 지속 시간이 길어집니다. 조리된 음식은 더 높은 가치를 지닙니다.
Bubble_Name_BlacksmithLedger |= 대장간 장부
Bubble_Desc_BlacksmithLedger |= 장부를 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특혜 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요. 대장간에서는 직원 2명을 고용할 수 있으며 카운터와 대장간을 담당할 사람을 지정할 수 있습니다.
Bubble_Name_ApothecaryLedger |= 약재상 장부
Bubble_Desc_ApothecaryLedger |= 장부을 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특혜 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요. 약재상에서는 직원 1명을 고용할 수 있습니다.
Bubble_Name_GoodStoreLedger |= 물품 상점 장부
Bubble_Desc_GoodStoreLedger |= 장부을 사용하면 직원 고용 및 해고, 임금 및 근무 시간 변경, 계정 확인, 특전 잠금 해제 등을 수행할 수 있습니다. 장부의 왼쪽에 있는 탭을 사용하여 다양한 옵션을 확인하세요.
Bubble_Name_ApothecaryGrind |= 약재상 파우더
Bubble_Desc_ApothecaryGrind |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_ApothecaryInfusion |= 약재상 크림
Bubble_Desc_ApothecaryInfusion |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_ApothecaryDistill |= 약재상 물약
Bubble_Desc_ApothecaryDistill |= 치료제를 만들기 위해 상호 작용하십시오. 레시피 책에서 치료제를 선택하세요. 제작 섹션에서 더 많은 도움을 받으려면 미니게임 중에 화면에서 도움말 옵션을 선택하세요.
Bubble_Name_OfferingPlinth |= 브라우니 그릇
Bubble_Desc_OfferingPlinth |= 프롤로그가 끝나면, 브라우니 가족을 달래기 위해 매일 제물을 바쳐야 합니다. 배우자가 대신 제물을 바칠 수 있습니다. 하루를 놓칠 때마다 징크스가 하나씩 증가하지만, 제물을 바치면 징크스가 하나씩 제거됩니다. 최대 징크스 레벨은 5입니다. 제물의 종류는 중요하지 않습니다.
Bubble_Name_GoddessStatue |= 여신상
Bubble_Desc_GoddessStatue |= 여신의 날(7일과 14일)에 여신상을 사용하여 축복을 받으세요. 공양 시스템에 대한 추가 도움을 받으려면 공양할 때 도움말 버튼을 사용하세요.\n사과 1개의 비용으로 잠금 해제된 다른 여신상으로 빠르게 이동하고 현재 축복/저주 상태를 볼 수도 있습니다.
Bubble_Name_Scheduler |= 가족 스케줄러
Bubble_Desc_Scheduler |= 결혼했거나 가족이 있는 경우, 이 가족 스케줄러를 사용해 가족에게 명령을 내릴 수 있습니다. 가족은 플레이어가 설정한 작업을 수행합니다. 플레이어는 가족을 식량 채집에 보낼 수도 있습니다. 가족에게 장비를 장착해 식량의 질과 양을 조절하고 이동 경로를 지정할 수 있습니다. 전투 지역으로 보낸 가족 구성원(18세 이상만 해당)은 부상을 당할 수 있지만 사망하지는 않습니다. 인터페이스 상단의 탭을 사용하여 탐색할 수 있습니다.
Bubble_Name_Well |= 우물
Bubble_Desc_Well |= 우물 옆에서 <interact> 누르거나 양동이/병에 물을 채우세요. 양동이에 물을 부어 물통을 채울 수 있습니다.
Bubble_Name_Trough |= 여물통
Bubble_Desc_Trough |= 주석 양동이를 가져다가 우물에서 물을 채운 다음 여물통 옆에 부어 물을 채웁니다. 비도 여물통에 채워집니다. 목이 마른 동물은 며칠이 지나면 불행해집니다..
Bubble_Name_BeeHive |= 벌집
Bubble_Desc_BeeHive |= 벌집 옆에서 병이나 양동이를 사용하여 꿀을 채우세요. <interact>를 눌러 용기를 자동으로 채우거나 빈 용기를 들고 벌집 옆에 사용할 수 있습니다. 꿀은 다양한 레시피에 사용할 수 있습니다. 벌집의 점으로 벌집에 꿀이 들어 있는지 확인할 수 있습니다. 벌은 매일 다시 꿀을 채웁니다.
Bubble_Name_Cow |= 소
Bubble_Desc_Cow |= 젖소는 불멸의 존재이며 우유를 줍니다. 젖소에게 주석 양동이이나 병을 사용하여 우유를 얻으세요. 소는 먹이를 줄 필요가 없습니다. 젖소는 여신을 불쾌하게 한 저주받은 사람들이라고 믿지만, 누군가 그렇게 말하면 "그냥 젖이나 짜라"라고 말하세요. 
Bubble_Name_FarmableArea |= 작물 밭
Bubble_Desc_FarmableArea |= 작물 밭과 상호작용하여 심을 수 있는 씨앗 목록을 불러올 수 있습니다. [help]을 사용해 작물의 상태를 확인합니다. 녹색 점은 그날 물을 주었음을 의미하며(물뿌리개 사용 또는 비가 올 때까지 기다림), 점의 개수는 수확할 준비가 될 때까지 남은 일수를 나타냅니다. 낫의 레벨이 올라가고 보너스가 주어지므로 낫을 사용해 작물을 수확하세요.
Bubble_Name_XXXXX |= 잡화점 상품 테이블
Bubble_Desc_XXXXX |= 여기에 최고의 아이템을 올려 보너스를 받으세요.
Bubble_Name_ShopWindowPlinth |= 잡화점 창문 테이블
Bubble_Desc_ShopWindowPlinth |= 창에 배치된 아이템은 창문 쇼핑객을 끌어들일 수 있으므로 여기에 좋은 아이템을 배치하세요.
Bubble_Name_ShopPlinth |= 잡화점 받침대
Bubble_Desc_ShopPlinth |= 이 진열대 위에 아이템을 올려놓고 판매할 수 있습니다. 선반에 쌓을 수 있는 만큼 배치한 후 가격을 설정합니다.
Bubble_Name_BlacksmithCrafting |= 대장장이 대장간
Bubble_Desc_BlacksmithCrafting |= 대장간을 사용해 도구를 제작합니다. 미니게임 내 도움말 버튼을 사용해 현재 수행 중인 작업과 조작법에 대한 정보를 확인하세요.
Bubble_Name_BlacksmithStock |= 대장간 저장소
Bubble_Desc_BlacksmithStock |= 기성품 솔루션을 원하는 고객을 위해 단조한 공구를 여기로 보낼 수 있습니다. 작업자는 저장된 공구를 사용하여 고객에게 판매할 수도 있으므로 항상 재고를 확보해 두세요. 여기에서 재고를 주문할 수도 있습니다.
Bubble_Name_ApothCabinet |= 약재상 선반
Bubble_Desc_ApothCabinet |= 환자가 치료제가 필요한 경우, 환자가 기다리는 동안 치료제를 제작하거나 선반에서 이전에 제작하여 미리 보관한 아이템을 찾아볼 수 있습니다.
Bubble_Name_ApothMatStorage |= 약재상 재료 저장소
Bubble_Desc_ApothMatStorage |= 직원이 치료제를 제작할 때 사용할 재료를 이곳에 보관합니다. 여기에서 재고를 주문할 수도 있습니다.
Bubble_Name_Pantry |= 식료품 저장고
Bubble_Desc_Pantry |= 배우자/가족이 요리에 사용할 수 있도록 식료품 저장고에 식재료를 보관할 수 있습니다. 배가 고픈데 요리할 수 있는 레시피가 없는 경우, 여기에 저장된 원재료를 먹게 됩니다. 요리하고 먹지 않는 재료는 모두 이곳에 저장하여 수집할 수 있습니다.
Bubble_Name_Sign |= 열림/닫음 표시
Bubble_Desc_Sign |= 이 표지판을 사용하여 가게를 열고 닫을 수 있습니다. 직원이 작업을 시작하고 완료하면 자동으로 스토어가 열리고 닫힙니다. 가게가 닫혀 있어도 여전히 가게에서 일을 할 수 있으며, 재고를 만들거나 재고를 확보하기에 좋은 시간입니다.
Bubble_Name_HighPriest |= 대사제
Bubble_Desc_HighPriest |= 대사제는 결혼과 이혼을 도와줄 수 있습니다. 또한 전투에서 사용할 수 있도록 물을 축복할 수도 있습니다.
Bubble_Name_Master |= 마스터
Bubble_Desc_Master |= 마스터에게 스킬 잠금 해제에 필요한 아이템을 선물하세요. 마스터의 요구 사항 중 별 등급과 금액을 확인하세요. 마스터는 여신의 축복을 받았으므로 결혼할 수 없고 오래 살 수 없습니다.
Bubble_Name_Trader |= 상인
Bubble_Desc_Trader |= 상인과 상호작용할 때 푯말 옵션을 선택해 상인의 상품을 둘러보세요. 상인은 전 세계를 돌아다니므로 언제 어디서 나타날지 캘린더에 추가할 정보를 얻으세요.
Bubble_Name_AppleTree |= 과일 나무/식물
Bubble_Desc_AppleTree |= 상호작용하여 과일을 떨어뜨리세요. 잠언을 찾아 축복을 사용하여 별 등급을 높이세요. 새총을 사용하여 과일을 따면 새총의 레벨이 올라갑니다.
Bubble_Name_BerryBush |= 베리 덤불
Bubble_Desc_BerryBush |= 상호작용하여 열매를 털어내세요. 잠언을 찾고 축복을 사용해 별 등급을 높이세요. 새총을 사용해 열매를 쓰러뜨리면 새총의 레벨이 올라갑니다.
Bubble_Name_ItemSack |= 채집 자루
Bubble_Desc_ItemSack |= 배우자/가족의 수집품을 이 자루에 모아보세요.
Bubble_Name_Bed |= 침대
Bubble_Desc_Bed |= 게임을 저장하려면 수면을 취합니다(1시간도 가능합니다). 게임은 오전 6시에 자동으로 저장됩니다.
Bubble_Name_MiningPoint |= 광석 층
Bubble_Desc_MiningPoint |= 곡괭이를 사용하여 대장장이 제작에 필요한 광석을 수집하세요. 곡괭이는 사용할수록 레벨이 올라가서 더 많은 수확량과 같은 특전을 부여합니다. 광석은 광석 종류와 활성화된 축복에 따라 특정 일수가 지나면 다시 생성됩니다.
Bubble_Name_Outhouse |= 변소
Bubble_Desc_Outhouse |= 변소는 헛배부름과 같은 특정 일시적 특성을 제거하는 데 사용할 수 있으며, 나중에 다른 용도로도 사용할 수 있습니다...
Bubble_Name_Rootway |= 페이 출입구
Bubble_Desc_Rootway |= 이 열쇠를 이용해 빠르게 이동하세요... 올바른 열쇠만 있다면...
Bubble_Name_LemonadeStand |= 레모네이드 가판대
Bubble_Desc_LemonadeStand |= 단품 판매에 사용합니다. 가격과 매대를 대여할 시간을 설정하고 기다립니다.
Bubble_Name_BiddingPlatform |= 경매장
Bubble_Desc_BiddingPlatform |= 경매일이 활성화되면 상호작용을 통해 경매에 참여하고 동물을 입찰할 수 있습니다. 각 안식처마다 경매하는 동물 종류가 다릅니다. 경매가 열리는 날에 대한 정보를 찾으면 달력에 추가됩니다.
Bubble_Name_MinigameHost |= 미니게임 호스트
Bubble_Desc_MinigameHost |= 상호 작용하여 상금을 받을 수 있는 미니 게임을 시작합니다.
Bubble_Name_RacingBookie |= 경주 창구
Bubble_Desc_RacingBookie |= 상호 작용하여 경주에서 우승자를 선택하세요. 동물들을 살펴보고 가장 좋아하는 동물을 골라 우승자를 선택하세요. 더 큰 상금이 걸린 더 큰 이벤트가 있으며, 올바른 애완동물 유형을 팔로우하고 있다면 경주에 참가할 수 있습니다. 각 안식처마다 경주에 참가할 수 있는 동물의 종류가 다릅니다. 이벤트가 언제 열리는지 달력에서 확인하세요.
Bubble_Name_FlourMill |= 맷돌
Bubble_Desc_FlourMill |= 맷돌을 사용하여 밀을 갈아서 밀가루를 만듭니다. 밀가루는 베이킹에 사용하거나 판매할 수 있습니다. 별 등급이 높은 밀은 품질은 향상되지 않지만 수확량은 향상됩니다. 따라서 5성 밀은 밀가루 5개를 제공합니다.
Bubble_Name_MailBox |= 우편함
Bubble_Name_PostOffice |= 비둘기 우체국
Bubble_Desc_MailBox |= 서신을 들고있는 새를 본다면, 여러분을 위한 새로운 편지가 온 것 입니다! 여러분은 또한 여기에서 여러분의 편지 보관소를 확인할 수 있습니다.
Bubble_Name_Postbox |= 우편함
Bubble_Desc_Postbox |= 직접 아이템을 선물/전달할 NPC를 찾을 수 없는 경우 우편함을 통해 선물할 수 있습니다.
Bubble_Name_Noticeboard |= 게시판
Bubble_Desc_Noticeboard |= 게시판과 상호작용하여 마을의 요청부터 이벤트 및 축제 정보에 이르기까지 모든 공지를 찾아보세요.
Bubble_Name_SellingBox |= 판매 테이블
Bubble_Desc_SellingBox |= 이 상점에서 관련 아이템을 판매하여 돈을 벌 수 있습니다.
Bubble_Name_MonumentStone |= 홈스톤
Bubble_Desc_MonumentStone |= 홈스톤을 통해 집의 현재 전반적인 우정 수준을 확인할 수 있습니다. 막대의 임계값 표시를 통과하면 권한이 부여되어 작물 밭을 사용하고, 농작물과 열매를 따고, 스토브를 사용할 수 있습니다.
Bubble_Name_GoodsStorage |= 재고 찬장
Bubble_Desc_GoodsStorage |= 재고 찬장을 사용하여 매장 직원이 선반이 비었을 때 채우는 데 사용할 수 있는 품목을 보관하세요. 여기에서 재고를 주문할 수도 있습니다.
Bubble_Name_CowShed |= 외양간
Bubble_Desc_CowShed |= 외양간은 소를 행복하게 유지하고 소의 기분 저하를 늦추는 데 도움이 됩니다. 외양간을 움직이면 소도 움직입니다.
Bubble_Name_SheepShelter |= 양 우리
Bubble_Desc_SheepShelter |= 양을 조금 더 행복하게 만들고 양들의 기분 저하를 늦추세요.
Bubble_Name_PigPen |= 돼지 우리
Bubble_Desc_PigPen |= 돼지를 조금 더 행복하게 만들고 양들의 기분 저하를 늦추세요.
Bubble_Name_ChickenCoop |= 닭장
Bubble_Desc_ChickenCoop |= 닭을 조금 더 행복하게 만들고 양들의 기분 저하를 늦추세요.
Bubble_Name_ToolShed |= 도구 창고
Bubble_Desc_ToolShed |= 여분의 도구를 창고에 보관하세요.
Bubble_Name_InspectingGadget |= 가젯 검사기
Bubble_Desc_InspectingGadget |= 하루에 한 번씩 아이템을 안에 넣어서 정보를 알아보세요.
Bubble_Name_SeedReplicatron |= 씨앗 생성기
Bubble_Desc_SeedReplicatron |= 썩은 사과를 사랑스러운 씨앗으로 바꿉니다.
Bubble_Name_Altar |= 제단
Bubble_Desc_Altar |= 일주일에 한 번, 필요한 스킬이 있으면 나무 우상을 획득하여 판매하거나 전투에 사용해 강력한 효과를 얻을 수 있습니다.
Bubble_Name_HonestyBox |= 정직한 상자
Bubble_Desc_HonestyBox |= 정직한 상자에 원하지 않는 물건을 넣으면 마을 사람들이 지나가다가 물건을 사서 돈을 넣어갈 수 있습니다. 그 물건의 기본 가격을 받게 됩니다.
Bubble_Name_FnFObject |= 건물 표지판
Bubble_Desc_FnFObject |= 표지판과 상호작용하여 건설을 위한 건물 메뉴에 액세스합니다. 일꾼을 배정하고 필요한 자원을 확인합니다. 건설 중에 아이템을 선물하여 팀의 에너지를 높일 수 있습니다. 식사에 별이 많을수록 에너지 레벨이 더 많이 충전됩니다.
Bubble_Name_BlueprintTable |= 커스터마이징 테이블
Bubble_Desc_BlueprintTable |= 상호작용하여 커스터마이징 모드로 들어갑니다. 토지를 선택하고 카탈로그를 사용하여 농장을 꾸밀 아이템을 선택합니다.
Bubble_Name_Campfire |= 모닥불
Bubble_Desc_Campfire |= 게임을 저장합니다. 어른이 되면 휴식을 취할 수 있습니다.
Bubble_Name_PlotSign |= 토지 표지판
Bubble_Desc_PlotSign |= 이 토지를 아직 소유하지 않은 경우 상호작용하여 구매합니다. 소유하고 있다면 상호작용하여 커스터마이징 모드로 들어갑니다. 토지를 선택하고 카탈로그를 사용하여 농장을 꾸밀 아이템을 선택합니다.
Bubble_Name_WoodTree |= 목재 나무
Bubble_Desc_WoodTree |= 도끼를 사용하여 나무 자원을 보충할 수 있는 이 나무를 자르세요.
