Chat_Happening_NOTHING |= 별다른 일이 일어나지 않았어.
Chat_Happening_NOTHING |= 사실 꽤 지루하네.
Chat_Happening_NOTHING |= 하암.
Chat_Happening_NOTHING |= 아무 일도 없어.
Chat_Happening_NOTHING |= 쥐 죽은 듯이 조용하군.
Chat_Happening_NOTHING[P] |= 여신들이 낮잠을 자고 있나 봐.
Chat_Happening_NOTHING[P] |= 축복받은 지루함이지.
Chat_Happening_NOTHING[P] |= 오늘 오팔은 조용하군.
Chat_Happening_NOTHING[P] |= 아무것도 하지 않기에 축복받은 날이지.
Chat_Happening_NOTHING[P] |= 오로레의 속삭임처럼 조용하군.
Chat_Happening_NOTHING[Q] |= 아무 일도 일어나지 않아. 슬리퍼를 신은 쥐처럼 조용해.
Chat_Happening_NOTHING[Q] |= 아무 일도 일어나지 않는 것만큼이나.
Chat_Happening_NOTHING[Q] |= 나는 하루의 중간쯤에 있어.
Chat_Happening_NOTHING[Q] |= 나 자신과 상충되는 그런 날 중 하나야.
Chat_Happening_NOTHING[Q] |= 쉿! 들려? 바로 그거야. 아무것도 소리도 없어.
Chat_Happening_NOTHING[J] |= 한 번도 재미있는 일이 없었어!
Chat_Happening_NOTHING[J] |= 너무 지루해서 폭발할 것 같아!
Chat_Happening_NOTHING[J] |= 유쾌함에서 벗어나고 있어.
Chat_Happening_NOTHING[J] |= 하하! 재밌네! 재미있는 일이 있었다면 그랬겠지.
Chat_Happening_NOTHING[J] |= 아주 크고 뚱뚱한 0이야.
Chat_Happening_NOTHING[B] |= 평화로워.
Chat_Happening_NOTHING[B] |= 혼잣말하는 게 즐거워.
Chat_Happening_NOTHING[B] |= 나와 내 거대한 자아가 아무것도 하지 않고있어.
Chat_Happening_NOTHING[B] |= 여긴 꽤 조용하네.
Chat_Happening_NOTHING[B] |= 나는 멋진 나 자신에게 아무것도 하지 않고 휴식을 취하고 있어.
Chat_Happening_NOTHING[C] |= 너무 조용해.
Chat_Happening_NOTHING[C] |= 여긴 너무 지루해. 냐가 좋아하는 대로.
Chat_Happening_NOTHING[C] |= 오, 아무 일도 일어나지 않네. 그런 적이 있었나?
Chat_Happening_NOTHING[C] |= 여긴 즐길 거리가 더 필요해 석탄 덩어리처럼 활기가 넘쳐.
Chat_Happening_NOTHING[C] |= 무슨 일이야? 무슨 일이 일어나고 있는지 말해줄게! 글쎄, 나도 무슨 일이 있었으면 좋겠어.

Chat_Happening_SLEEP |= 내 작은 침대로 향하고 있지.
Chat_Happening_SLEEP |= 곧 놋의 땅으로 떠나려고.
Chat_Happening_SLEEP |= 이제 막 잠자리에 드는 중이야.
Chat_Happening_SLEEP |= 너무 피곤해서 빨리 침대에 눕고싶어.

Chat_Happening_SLEEP[P] |= 여신들은 우리가 쉬기를 바라기 때문에 지금 그곳으로 갈 거야.
Chat_Happening_SLEEP[P] |= 오팔과 우리가 사랑하는 여신들을 꿈꾸며 잠자리에 들거야.
