ChatOption_Introduce |= 소개
ChatOption_Greeting |= 안녕하세요!
ChatOption_Continue |= ...
ChatOption_HowAreYou |= 잘 지내요?
ChatOption_Gift |= 선물
ChatOption_TaskInfo |= 일거리가 있나요?
ChatOption_Favour |= 선호
ChatOption_LowTierGossip |= 가십
ChatOption_Response |= 사용자 지정 응답
ChatOption_HighTierGossip |= 비밀
ChatOption_Bye |= 잘가!
ChatOption_AcceptFavour |= 수락
ChatOption_DeclineFavour |= 거절
ChatOption_Close |= 닫기
ChatOption_Yes |= 예
ChatOption_No |= 아니요
ChatOption_Ok |= 알겠습니다
ChatOption_Repeat |= 반복
ChatOptionSecretBox |= 그동안 나에게 잘해주어서 우리 가족의 비밀상자 잠금해제 암호 숫자를 알려줄게... <VAR1>
ChatOptionSecretInfoLimit |=  이번 계절에는 더 이상 전달할 정보가 없어.
ChatOptionGreetingMorning |= 좋은 아침.
ChatOptionGreetingAfternoon |= 안녕하세요.
ChatOptionGreetingEvening |= 안녕하세요.
ChatOptionByeT2_Positive |= 잘가.
ChatOptionByeT2_Neutral |= 안녕히 계세요. 우리가 다시 만날 때까지.
ChatOptionByeT2_Negative |= 때가 됐어요.
ChatOptionByeT3_Positive |= 잘가! 대화 즐거웠어.
ChatOptionByeT3_Neutral |= 이만 잘가.
ChatOptionByeT3_Negative |= 흐으으음.
ChatOptionAcceptFavour |= 좋아! 얼른 서두르자.
ChatOptionDeclineFavour |= 흐으음.
ChatOptionDeclineFavour |= 충분해.
ChatOptionHowAreYouHungry_Positive |= 배가 고프네.
ChatOptionHowAreYouOk_Positive |= 괜찮아.
ChatOptionHowAreYouHappy_Positive |= 행복해!
ChatOptionHowAreYouSad_Positive |= 좀 슬프네.
ChatOptionHowAreYouIll_Positive |= 몸이 별로 좋지 않아.
ChatOptionHowAreYouTired_Positive |= 피곤해.
ChatOptionHowAreYouBusy_Positive |= 난 바쁜 꿀벌이야.
ChatOptionHowAreYouUnhappy_Positive |= 기분이 좋지 않아.
ChatOptionHowAreYouGreat_Positive |= 기분이 정말 좋아!
ChatOptionHowAreYouHungry_Neutral |= 배가 조금 고파.
ChatOptionHowAreYouOk_Neutral |= 나쁘지 않네, 고마워.
ChatOptionHowAreYouHappy_Neutral |= 오늘은 모두 웃자.
