WrightProgress1 |= 전설이 되기 위한 첫 걸음을 잘 내딛었구나. 감사의 표시로 내가 여러 달 전에 만든 이 토크를 가져가. 이 토크를 사용할 때마다 이 신성한 장소의 입구로 돌아가게 해줄 거야.
WrightProgress1 |= 이제 고향 마을 캔들위치의 게시판을 확인해 봐. 이 땅에 문제가 생긴 것 같으니 사람들이 게시판에 공지사항이나 도움을 요청하는 글을 올릴지도 몰라. 무슨 일이 일어나고 있든 우리 친구 재버워크와 관련이 있을 수도 있고, 마을 사람들이 과잉 반응하는 것일 수도 있지. 어느 쪽이든 조사해 주면 도움이 될 거야.
WrightProgress1 |= 우리의 축복이 너와 함께할거야.
WrightProgress2 |= 한 단계 더 발전했구나. 매우 고무적인 일이야. 그래서 너를 위한 또 다른 선물을 준비했어. 이번에는 레인스틱이야. 내가 살아있을 때 수레에 싣고 다니며 팔곤 했지. 어린이, 대사제, 소방관에게 인기가 많았어.
WrightProgress2 |= 우리는 세상에 새로운 존재를 느꼈어. 멜로우필드의 길에서 오는 어둠의 에너지를 말이야. 확실히 주시해야 할 존재군. 홉의 활동이 증가하고 있고, 불길한 일이 벌어지고 있다는 소문이 돌고 있어.
WrightProgress2 |= 마쉬티트 마스터를 만나러 가겠어. 재밌는 친구이자 훌륭한 정원사지. 전설적인 지위를 얻기 위해 그를 만나면 도움이 될 거야.
WrightProgress2 |= 조심해, 다시 한 번 항아리를 채우고 돌아올 때까지 기다리지.
WrightProgress3 |= 너의 명성을 한 단계 더 올렸어. 느리고 꾸준한 것이 경주에서 승리하지.\n이 렌즈를 보상으로 받아. 옵스큐라에 잘 어울리며 아주 특별한 곳으로 여행할 수 있게 해줄 거야. 선술집에서 사용해 봐\n다음 만남까지...
WrightProgress4 |= 다시 한 번 만나서 반갑군. 얼굴만 봐도 상을 받으러 온 것 같네! 자, 시작하지. 지하에는 아직 네가 발견하지 못한 곳이 있다. 광부들이 땅을 깊이 파서 문을 잠그고 열쇠를 버렸어. 다행히도 나는 많은 문을 열 수 있는 열쇠를 가지고 있지. 이제 페일, 섬머다운, 멜로우필드의 더 깊은 곳으로 들어가는 입구를 찾아봐라. 하지만 그 아래는 조심하고!
WrightProgress4 |= 마지막으로, 오늘은 워마쉬의 와이즈트레일에서 너를 기다리고 있는 흥미로운 캐릭터와 이야기를 나눠보도록 하지. 그곳에 문제가 있다고 들었어. 그들은 워마쉬 주변에서 호기심 많은 마을 주민들이라고 하네. 너의 도움이 필요할지도 몰라.
WrightProgress5 |= 오호! 돌아왔구나. 전설이 되기까지 절반은 남았네. 감동이야! 이 다음 보상은 이 고귀한 퀘스트에 쏟은 노력에 걸맞은 가치가 있지.
WrightProgress5 |= 옵스큐라를 위한 렌즈다. 친근한 이웃집 아지트에서 페이의 새로운 영역이 너를 기다린다.
WrightProgress5 |= 안녕, 다시 한 번!
WrightProgress6 |= 오, 여기 유령같은 눈을 위한 광경이 있군. 이대로 가다간 선물할 인센티브가 다 떨어지겠어. 너는 점점 더 유명해지고있어! 자, 이걸 받아. 눈보라 지팡이다. 눈이 내리는 상황 중 가장 끔찍한 상황을 만들 수 있지. 섀더리스 금속의 섬세한 디테일을 봐. 대단한 기술이지.
WrightProgress6 |= 이제, 으스스한 일이 벌어지고 있다는 것을 알아야 한다. 워마쉬 게시판에 가서 단서가 있는지 살펴보는 게 좋을 거야. 시간을 낭비하고 싶지 않으니 잊지 마.
WrightProgress6 |= 잘 다녀와.
WrightProgress7 |= 진정한 전설에 점점 가까워지고 있군. 복잡한 제작 기술을 시험해볼 수 있는 특별한 물건을 가져왔어. 모든 것이 거대한 금속판을 망치로 두드려서 만들 필요는 없지. 이 오르골은 멜로우필드의 신비한 원형의 돌의 힘을 잠금 해제하기 위해 만든 오르골이야. 그곳에서 연주하지 않더라도 잠들기 전에 들으면 멋진 곡이 될 거야. 지금 당장 따뜻한 몰트 한잔이 생각나는군...
WrightProgress8 |= 너의 평판은 번개처럼 빠르게 성장하고 있구나. 정말 무섭군!\n최근의 업적을 기리기 위해 적절한 이름의 라이트닝 로드를 선물하지. 최고급 구리로 만들었어. 폭풍을 일으켜야 할 때면 언제든 사용할 수 있지만, 사용할 때마다 충전이 필요하다.\n평판을 계속 모아봐! 이제 거의 다 왔으니 맛볼 수 있을 것 같군! 글쎄, 진짜 미각이 있다면 그럴 수 있겠지.
WrightProgress9 |= 한 걸음 더. 딱 하나. 그러면 우리 세 그랜드마스터가 기름부음을 받은 이후 처음으로 새로운 전설을 만나볼 수 있을 거야. 검을 만드는 데 필요한 금형은 이곳 북쪽의 다른 무덤에 있다.\n그러나 먼저 그 다리를 고쳐야 해. 다리를 고치려면 특별한 재료가 필요하지. 아마도 우리의 선물이 그런 아이템을 구하는 데 도움이 될 거야. \n옵스큐라 랜턴에 추가할 수 있는 또 다른 신기한 유리 렌즈다. 마지막 헨지 문이 열리고 많은 사람들이 보지 못한 곳으로 안내해 줄 테지! 별을 향해 손을 뻗어라!\n메테오리트를 찾아 전설을 되살려라!
WrightProgress10 |= 믿을 수 없지만 전설이 우리 앞에 서 있다니......부탁받은 대로 임무를 거의 완수했군. 이제 검을 만드는 데 필요한 광석을 모아 재버워크를 물리치기만 하면 된다. 쉽지.\n어둠을 뚫으려면 보통 빛이 필요하지. 이번엔 그렇지 않아. 전설이 주조하고 전설이 휘두르는 어둠과 그림자의 무기만이 모든 퀼 사람들의 마음속을 휘젓는 증오를 파괴할 수 있다.\n이를 위해서는 가장 어두운 금속인 어비스스톤이 필요해. 이 어비스스톤을 사용하여 검을 만들어야 한다.\n광석을 얻고 야수를 유인하는 것은 우리가 도와줄 수 있는 일이 아니다. 하지만 너가 잘 아는 사람 중에 그런 지식을 가지고 있는 사람이 있지. 언젠가 다시 불러서 다른 임무를 줄지도 모르지만 그건 미래를 위한 일이야. 재버워크를 처치해!
WrightProgress10 |= 오! 잠깐만. 네가 가기 전에 네 운명을 완수하기 위해 줄 선물이 하나 더 있다. 이 망치는 오랫동안 내 소유였고 나를 잘 도와주었지. 이 망치를 사용하면 대장간에서 만드는 모든 아이템의 품질에 별 하나를 더할 수 있다.\n잘가라. 가... 이번엔 진짜야.
WrightTaskComplete |= 너는 정말 그 사람이구나. 내 시련을 통과하고 증오의 땅을 해방시켰어.
WrightTaskComplete |= 우리는 너의 미래를 본다. 이전에는 이런 자연의 힘을 느껴본 적이 없어.
WrightTaskComplete |= 이제 무덤에 수호자가 있다는 사실에 만족하며 잠을 잘 수 있게 되었다.
WrightTaskComplete |= 다음에 무엇을 선택하든 그것은 너에게 달려 있다. 마무리하고 싶은 일이 있나? 무궁무진한 부를 원하시나? 아니면 이 땅의 모든 사람의 사랑을 받고 싶은가?
WrightTaskComplete |= 원하는 것이 무엇이든, 행운을 기원하지.
WrightTaskComplete |= 편히 쉬렴, 전설아.
WrightTaskComplete |= 안녕!
WrightPartialProgress |= 진행 상황은 어때? 다음 마일스톤에 도달하면 다시 돌아와 보상을 받아라!
