Pickup_Kynseed |= 킨시드
Pickup_KynseedDesc |= 불가사의하고 신비한 씨앗
Pickup_FW_0 |= 태엽 장치 시계
Pickup_FW_0_Description |= 민들레에서 기계식 시계로 업그레이드할 시간입니다.
Pickup_FW_1 |= 글루톤의 여물통
Pickup_FW_1_Description |= 커스터마이징 카탈로그를 통해 배치하며 동물에게 자동으로 먹이를 줄 수 있습니다.
Pickup_FW_2 |= 나무 열쇠
Pickup_FW_2_Description |= 이 경이롭고 신비로운 열쇠로 비밀 페이의 통로를 이용할 수 있습니다.
Pickup_FW_3 |= 즐거운 나의 집
Pickup_FW_3_Description |= 집만큼 좋은 곳은 없습니다. 특히 순간 이동이 가능하다면 더욱 그렇습니다.
Pickup_FW_4 |= 2 잊어버려 씨앗
Pickup_FW_4_Description |= 선물을 받으면 좋든 나쁘든 당신에 대한 의견을 재설정 할 수있는 놀라운 꽃을 키우십시오!
Pickup_FW_5 |= 거울 거울
Pickup_FW_5_Description |= 이 놀라운 거울을 매일 사용하여 버질리티를 강화하세요.
Pickup_FW_6 |= 뱃사공의 기념품
Pickup_FW_6_Description |= 메일이 왔나요? 이벤트를 잊으셨나요? 이 훌륭한 아이템이 바로 여러분에게 필요한 것입니다!
Pickup_FW_7 |= 용서의 꽃병
Pickup_FW_7_Description |= 이 사랑스러운 꽃병으로 배우자는 당신을 미워하지 않을 것이며 모임 중 부상을 입어도 기분이 나빠지지 않을 것입니다.
Pickup_FW_8 |= 주디스의 매력적인 매력 부적
Pickup_FW_8_Description |= 이 매력적인 매력 부적으로 나쁜 사랑의 영향을 줄이세요.
Pickup_FW_9 |= 투르디스
Pickup_FW_9_Description |= 아웃하우스 스페셜로 하수구 속을 즉시 여행하세요. 코를 꽉 잡으세요.
Pickup_FW_10 |= 테라리움
Pickup_FW_10_Description |= 이동 중에도 편리하게 사용할 수 있는 휴대용 정원.
Pickup_FW_11 |= 칼모니카
Pickup_FW_11_Description |= 날씨가 너무 거칠나요? 이 평화로운 악기로 진정하세요.
Pickup_FW_12 |= 안개 뿔
Pickup_FW_12_Description |= 안개를 연주해 보세요. 이 호기심 많은 경적을 울려 안개를 만들어 보세요.
Pickup_FW_13 |= 스노우글로브
Pickup_FW_13_Description |= 분위기 있는 구체예요! 이 매력적인 스노우 글로브로 눈을 만들어 보세요.
Pickup_FW_14 |= 바람 반지
Pickup_FW_14_Description |= 이 화려한 반지로 바람부는 날씨 만들어 보세요.
Pickup_FW_15 |= 하이야의 합성 양동이
Pickup_FW_15_Description |= 4배의 향기로운 비료를 담을 수 있는 이 양동이로 외관을 가꾸세요.
Pickup_FW_16 |= 버그패스 교수
Pickup_FW_16_Description |= 아름답게 조각된 나무 부엉이를 인벤토리에 추가하면 가족 연구 경험치 획득량이 증가합니다.
Pickup_FW_17 |= 식별장치
Pickup_FW_17_Description |= 이 이상한 장치는 아이템의 특성을 식별합니다.
Pickup_FW_18 |= 씨앗 복제기
Pickup_FW_18_Description |= 이 영리한 기계에 썩은 사과를 먹여 무작위 씨앗을 생산하세요.
Pickup_FW_19 |= 낭비 없음
Pickup_FW_19_Description |= 얌얌. 조리된 음식을 만들 때 수확량을 두 배로 늘릴 수 있습니다.
Pickup_FW_20 |= 신성한 탐지기
Pickup_FW_20_Description |= 삽을 들고 발굴 지점을 찾아보세요. 가까이 다가갈수록 핑이 울립니다!
Pickup_FW_21 |= 공작 기계
Pickup_FW_21_Description |= 생산을 시작합니다. 대장간에서 제작할 때 생산량이 두 배로 증가합니다.
Pickup_FW_22 |= 화학 세트
Pickup_FW_22_Description |= 튜브를 시험해 보세요! 약재상에서 제작할 때 생산량이 두 배로 증가합니다.
Pickup_1 |= 사과
Pickup_Description_1 |= 하루에 한 개의 사과는 의사와 멀어지게 합니다. 그냥 의사에게 던지세요.
Pickup_2 |= 가스가 찬 사과
Pickup_Description_2 |= 인플레이션때문에 꽤 비쌉니다.
Pickup_3 |= 폭찹
Pickup_Description_3 |= 이 작은 돼지는 많은 맛있는 조각으로 시장에 나왔습니다.
Pickup_4 |= 당근
Pickup_Description_4 |= 불을 켜서 어두운 곳에서도 잘 볼 수 있도록 도와줍니다.
Pickup_5 |= 양배추
Pickup_Description_5 |= 이국적이고, 흥미진진하고, 즙이 많습니다. 양배추를 설명하는 데 사용할 수 없는 세 단어입니다.
Pickup_6 |= 우유
Pickup_Description_6 |= 비타민과 철분으로 가득합니다. 소는 금속인가요?
Pickup_7 |= 물
Pickup_Description_7 |= 이것이 무엇인지 꽤 분명합니다...
Pickup_8 |= 딸기
Pickup_Description_8 |= 딱정벌레가 가득한 들판에서.
Pickup_9 |= 블루베리
Pickup_Description_9 |= 블루베리의 색이 파랄 뿐입니다. 블루베리는 슬프지 않아요.
Pickup_10 |= 나이트베리
Pickup_Description_10 |= 놀랍게도 밤에만 싹을 틔웁니다.
Pickup_11 |= 밀 씨앗
Pickup_Description_11 |= 반죽으로 만들수 있습니다.
Pickup_12 |= 당근 씨앗
Pickup_Description_12 |= 막대는 포함되어 있지 않습니다.
Pickup_13 |= 양배추 씨앗
Pickup_Description_13 |= 인형을 소유하는 데는 아무런 문제가 없습니다.
Pickup_14 |= 밀
Pickup_Description_14 |= 바지를 내려놓지 마세요. 쭉정이가 됩니다.
Pickup_20 |= 버섯
Pickup_Description_20 |= 저는 재미있는 사람입니다.
Pickup_21 |= 무지개 버섯
Pickup_Description_21 |= 미각의 향연만이 아닙니다. 저 색상을 보세요! 정말 끝내줍니다!
Pickup_22 |= 뼈
Pickup_Description_22 |= 개의 막대사탕.
Pickup_23 |= 랜턴
Pickup_Description_23 |= 어두운 곳의 빛.
Pickup_26 |= 물뿌리개
Pickup_Description_26 |= 기본적으로 식물과 꽃을 위한 샤워기입니다.
Pickup_27 |= 류트
Pickup_Description_27 |= 상자에서 찾을 수 없습니다.
Pickup_28 |= 새총
Pickup_Description_28 |= 위협을 가할 때 사용하는 무기입니다.
Pickup_29 |= 낚싯대
Pickup_Description_29 |= 물고기를 잘 낚습니다.
Pickup_30 |= 공
Pickup_Description_30 |= 영향권.
Pickup_31 |= 유리병
Pickup_Description_31 |= 문 옆에 놔두지 마세요...
Pickup_34 |= 폰드러커
Pickup_Description_34 |= 규모에 맞게 그려집니다.
Pickup_35 |= 우럭
Pickup_Description_35 |= 비가오는 날 잡으세요.
Pickup_36 |= 잠자는 이의 제스트
Pickup_Description_36 |= 나이트베리, 딸기, 블루베리.
Pickup_37 |= 수프 올라드
Pickup_Description_37 |= 닭다리, 무지개 버섯, 캣닙
Pickup_38 |= 엄마의 우유 푸딩
Pickup_Description_38 |= 캐모마일, 엘더베리, 우유 이끼.
Pickup_39 |= 캔들위치 그린
Pickup_Description_39 |= 우럭, 토마토, 양배추.
Pickup_40 |= 베이컨 서프라이즈
Pickup_Description_40 |= 구스베리, 버섯, 토마토.
Pickup_41 |= 에드워드의 뭉크
Pickup_Description_41 |= 폭찹, 민트, 토마토.
Pickup_42 |= 심플턴의 스튜
Pickup_Description_42 |= 토마토, 양배추, 바질.
Pickup_43 |= 모두의 샐러드
Pickup_Description_43 |= 당근, 토마토, 서양 배.
Pickup_44 |= 체포 스튜
Pickup_Description_44 |= 양배추, 당근, 오팔 잉어.
Pickup_46 |= 잠자는 이의 제스트
Pickup_Description_46 |= 이 혼합물에는 수면은 선택 사항이 아닙니다.
Pickup_47 |= 수프 올라드
Pickup_Description_47 |= 기분을 좋게 만드는 데 이보다 더 좋은 것은 없습니다.
Pickup_48 |= 엄마의 우유 푸딩
Pickup_Description_48 |= 이걸 좋아하지 않으려면 미쳤거나 맥스라고 불려야 할 것입니다.
Pickup_49 |= 캔들위치 그린
Pickup_Description_49 |= 소일렌트보다 훨씬 건강합니다.
Pickup_50 |= 베이컨 서프라이즈
Pickup_Description_50 |= 놀랍게도 베이컨이 들어 있지 않습니다.
Pickup_51 |= 에드워드의 뭉크
Pickup_Description_51 |= 아이스크림의 대체품입니다.
Pickup_52 |= 심플턴의 스튜
Pickup_Description_52 |= 마을의 바보와 배고픈 사람들에게 사랑받는 음식입니다.
Pickup_53 |= 모두의 샐러드
Pickup_Description_53 |= 전 세계 쟁기꾼들의 선망의 대상입니다.
Pickup_54 |= 체포 스튜
Pickup_Description_54 |= 이걸 먹는 것이 법이 되어야 합니다.
