GS_Stock01Title |= 잡화점 재고 1
GS_Stock01Desc |= 다양한 일반 품목 중에서 주문하세요.
GS_Stock02Title |= 잡화점 재고 2
GS_Stock02Desc |= 다양한 희귀 품목 중에서 주문하세요.
GS_Stock03Title |= 잡화점 재고 3
GS_Stock03Desc |= 더 많은 희귀 품목 중에서 주문하세요.
GS_Stock04Title |= 잡화점 재고 4
GS_Stock04Desc |= 다양한 페이 아이템 중에서 주문하세요.
GS_StockQuality01Title |= 재고 품질 1
GS_StockQuality01Desc |= 플레이어는 잡화점 일반 상자를 주문할 수 있습니다.
GS_StockQuality02Title |= 재고 품질 2
GS_StockQuality02Desc |= 플레이어는 잡화점 프리미엄 상자를 주문할 수 있습니다.
GS_StockQuality03Title |= 재고 품질 3
GS_StockQuality03Desc |= 상자의 가격이 인하됩니다.
GS_DeliveryTime01Title |= 배달 시간 1
GS_DeliveryTime01Desc |= 재고 배송이 2일 밖에 걸리지 않습니다.
GS_DeliveryTime02Title |= 배달 시간 2
GS_DeliveryTime02Desc |= 재고 배송이 1일 밖에 걸리지 않습니다.
GS_Staff01Title |= 잡화점 직원 교육 1
GS_Staff01Desc |= 일할 때 직원은 거래 +3을 얻습니다.
GS_Staff02Title |= 잡화점 직원 교육 2
GS_Staff02Desc |= 일할 때 직원은 속도 +3을 얻습니다.
GS_Staff03Title |= 잡화점 직원 교육 3
GS_Staff03Desc |= 일할 때 직원은 거래와 속도 +5를 얻습니다.
GS_CustomerExp01Title |= 고객 경험 1
GS_CustomerExp01Desc |= 이름있는 고객은 친밀도가 높을수록 판매할 때마다 소정의 팁을 제공합니다.
GS_CustomerExp02Title |= 고객 경험 2
GS_CustomerExp02Desc |= 이름있는 고객은 친절할수록 불만족스러워도 평판 하락이 적습니다.
GS_CustomerExp03Title |= 고객 경험 3
GS_CustomerExp03Desc |= 이름있는 고객은 판매자와 친밀도가 높을수록 판매할 때마다 소정의 평판 보너스를 받을 수 있습니다.
GS_WindowShopperTitle |= 지역 상인 1
GS_WindowShopperDesc |= 상점 방문자는 별 등급이 더 높은 품목을 판매할 가능성이 더 높습니다.
GS_PeoplePersonTitle |= 사람 사람 1
GS_PeoplePersonDesc |= 고객이 창문 전시 품목을 구매할 확률이 훨씬 높아집니다.
GS_Merchant01Title |= 도매상 1
GS_Merchant01Desc |= 재고 가격 인하 - 예산 상자.
GS_Merchant02Title |= 도매상 2
GS_Merchant02Desc |= 재고 가격 인하 - 일반 상자.
GS_Morale01Title |= 의욕 1
GS_Morale01Desc |= 우정 레벨 2마다 직원이 체력 +1을 얻습니다.
GS_Morale02Title |= 의욕 2
GS_Morale02Desc |= 직원의 기분이 좋으면 모든 능력치가 +2 증가합니다. 이 부스트는 업무 외 시간에도 유지됩니다.
GS_VendiVidiVici01Title |= 팔았노라 보았노라 이겼노라 1
GS_VendiVidiVici01Desc |= 매일 무작위 아이템이 선물로 주어지며, 바깥 나무 그루터기에 남겨집니다.
GS_VendiVidiVici02Title |= 팔았노라 보았노라 이겼노라 2
GS_VendiVidiVici02Desc |= 매일 아이템 묶음이 선물로 주어지며 바깥 나무 그루터기에 남겨집니다.
GS_VendiVidiVici03Title |= 팔았노라 보았노라 이겼노라 3
GS_VendiVidiVici03Desc |= 선물받은 아이템은 전날 판매한 최고 등급 아이템의 별 등급과 일치합니다.

BS_Stock01Title |= 대장간 재고 1
BS_Stock01Desc |= 다양한 광석과 아이템 중에서 주문하세요.
BS_Stock02Title |= 대장간 재고 2
BS_Stock02Desc |= 더 많은 종류의 광석과 아이템 중에서 주문하세요.
BS_Stock03Title |= 대장간 재고 3
BS_Stock03Desc |= 더욱 다양한 종류의 광석과 아이템을 주문하세요.
BS_Stock04Title |= 대장간 재고 4
BS_Stock04Desc |= 다양한 페이 광석 중에서 주문하세요.
BS_StockQuality01Title |= 재고 품질 1
BS_StockQuality01Desc |= 플레이어는 대장간 일반 상자를 주문할 수 있습니다.
BS_StockQuality02Title |= 재고 품질 2
BS_StockQuality02Desc |= 플레이어는 대장간 프리미엄 상자를 주문할 수 있습니다.
BS_StockQuality03Title |= 재고 품질 3
BS_StockQuality03Desc |= 상자 가격이 인하됩니다.
BS_DeliveryTime01Title |= 배달 시간 1
BS_DeliveryTime01Desc |= 재고 배송이 2일 밖에 걸리지 않습니다.
BS_DeliveryTime02Title |= 배달 시간 2
BS_DeliveryTime02Desc |= 재고 배송이 1일 밖에 걸리지 않습니다.
BS_Staff01Title |= 대장간 직원 교육 1
BS_Staff01Desc |= 일할 때 직원은 힘 +3을 얻습니다.
BS_Staff02Title |= 대장간 직원 교육 2
BS_Staff02Desc |= 일할 때 직원은 명중 +3을 얻습니다.
BS_Staff03Title |= 대장간 직원 교육 3
BS_Staff03Desc |= 일할 때 직원은 힘과 명중 +5를 얻습니다.
BS_CustomerExp01Title |= 고객 경험 1
BS_CustomerExp01Desc |= 이름있는 고객은 친밀도가 높을수록 판매할 때마다 소정의 팁을 제공합니다.
BS_CustomerExp02Title |= 고객 경험 2
BS_CustomerExp02Desc |= 이름있는 고객은 친절할수록 불만족스러워도 평판 하락이 적습니다.
BS_CustomerExp03Title |= 고객 경험 3
BS_CustomerExp03Desc |= 이름있는 고객은 판매자와 친밀도가 높을수록 판매할 때마다 소정의 평판 보너스를 받을 수 있습니다.
BS_ManicMinerTitle |= 정신없는 광부 1
BS_ManicMinerDesc |= Visitors to the shop will sell you ore on occasions.
BS_PeoplePersonTitle |= 사람 사람 1
BS_PeoplePersonDesc |= 임시 아이템이 성공할 확률이 높아집니다.
BS_Merchant01Title |= 도매상 1
BS_Merchant01Desc |= 재고 가격 인하 - 예산 상자.
BS_Merchant02Title |= 도매상 2
BS_Merchant02Desc |= 재고 가격 인하 - 일반 상자.
BS_Morale01Title |= 의욕 1
BS_Morale01Desc |= 우정 레벨 2마다 직원이 체력 +1을 얻습니다.
BS_Morale02Title |= 의욕 2
BS_Morale02Desc |= 직원의 기분이 좋으면 모든 능력치가 +2 증가합니다. 이 부스트는 업무 외 시간에도 유지됩니다.
BS_LodeOfStuff01Title |= 로드 오프 스터프 1
BS_LodeOfStuff01Desc |= 외부의 암석에서 무작위 광석이 생산됩니다.
BS_LodeOfStuff02Title |= 로드 오프 스터프 2
BS_LodeOfStuff02Desc |= 암석의 광석은 채굴 시 높은 수확량을 자랑합니다.
BS_LodeOfStuff03Title |= 로드 오프 스터프 3
BS_LodeOfStuff03Desc |= 채굴한 광석은 전날 판매한 최고 등급의 도구/무기의 별 등급과 일치합니다.

AP_Stock01Title |= 약재상 재고 1
AP_Stock01Desc |= 다양한 일반 품목 중에서 주문하세요.
AP_Stock02Title |= 약재상 재고 2
AP_Stock02Desc |= 다양한 희귀 품목 중에서 주문하세요.
AP_Stock03Title |= 약재상 재고 3
AP_Stock03Desc |= 더 많은 희귀 품목 중에서 주문하세요.
AP_Stock04Title |= 약재상 재고 4
AP_Stock04Desc |= 다양한 페이 아이템 중에서 주문하세요.
AP_StockQuality01Title |= 재고 품질 1
AP_StockQuality01Desc |= 플레이어는 약재상 일반 상자를 주문할 수 있습니다.
AP_StockQuality02Title |= 재고 품질 2
AP_StockQuality02Desc |= 플레이어는 약재상 프리미엄 상자를 주문할 수 있습니다.
AP_StockQuality03Title |= 재고 품질 3
AP_StockQuality03Desc |= 상자의 가격이 인하됩니다.
AP_DeliveryTime01Title |= 배달 시간 1
AP_DeliveryTime01Desc |= 재고 배송이 2일 밖에 걸리지 않습니다.
AP_DeliveryTime02Title |= 배달 시간 2
AP_DeliveryTime02Desc |= 재고 배송이 1일 밖에 걸리지 않습니다.
AP_Staff01Title |= 약재상 직원 교육 1
AP_Staff01Desc |= 일할 때 직원은 지능 +3을 얻습니다.
AP_Staff02Title |= 약재상 직원 교육 2
AP_Staff02Desc |= 일할 때 직원은 체질 +3을 얻습니다.
AP_Staff03Title |= 약재상 직원 교육 3
AP_Staff03Desc |= 일할 때 직원은 지능과 체질 +5를 얻습니다.
AP_CustomerExp01Title |= 고객 경험 1
AP_CustomerExp01Desc |= 이름있는 고객은 친밀도가 높을수록 판매할 때마다 소정의 팁을 제공합니다.
AP_CustomerExp02Title |= 고객 경험 2
AP_CustomerExp02Desc |= 이름있는 고객은 친절할수록 불만족스러워도 평판 하락이 적습니다.
AP_CustomerExp03Title |= 고객 경험 3
AP_CustomerExp03Desc |= 이름있는 고객은 판매자와 친밀도가 높을수록 판매할 때마다 소정의 평판 보너스를 받을 수 있습니다.
AP_SaltySellersTitle |= 예민한 판매자 1
AP_SaltySellersDesc |= 상점 방문자가 가끔 재료를 판매하기도 합니다.
AP_PeoplePersonTitle |= 사람 사람 1
AP_PeoplePersonDesc |= 플라시보의 성공 확률이 더 높습니다.
AP_Merchant01Title |= 도매상 1
AP_Merchant01Desc |= 재고 가격 인하 - 예산 상자.
AP_Merchant02Title |= 도매상 2
AP_Merchant02Desc |= 재고 가격 인하 - 일반 상자.
AP_Morale01Title |= 의욕 1
AP_Morale01Desc |= 우정 레벨 2마다 직원이 체력 +1을 얻습니다.
AP_Morale02Title |= 의욕 2
AP_Morale02Desc |= 직원의 기분이 좋으면 모든 능력치가 +2 증가합니다. 이 부스트는 업무 외 시간에도 유지됩니다.
AP_RootExtraction01Title |= 뿌리 추출물 1
AP_RootExtraction01Desc |= 매일 무작위 재료가 선물되어 바깥 나무에 남겨집니다.
AP_RootExtraction02Title |= 뿌리 추출물 2
AP_RootExtraction02Desc |= 나무에 있는 재료는 따면 수확량이 높습니다.
AP_RootExtraction03Title |= 뿌리 추출물 3
AP_RootExtraction03Desc |= 선물받은 재료는 전날 판매한 가장 높은 등급의 치료제의 별 등급과 일치합니다.

GS_Fishmonger_SmallFry01Title |= 작은 치어 1
GS_Fishmonger_SmallFry01Desc |= 3 별 이하의 물고기를 아침/저녁에 낚으면 수확량이 2배가 됩니다.
GS_Fishmonger_SmallFry02Title |= 작은 치어 2
GS_Fishmonger_SmallFry02Desc |= 4 별 이하의 물고기를 아침/저녁에 낚으면 수확량이 2배가 됩니다.
GS_Fishmonger_RiverMasterTitle |= 리버 마스터
GS_Fishmonger_RiverMasterDesc |= 체질 특성을 가진 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
GS_Fishmonger_CatchOfTheDayTitle |= 오늘의 어획물
GS_Fishmonger_CatchOfTheDayDesc |= 새벽에 물고기 5마리를 잡으면 남은 하루 동안 플레이어와 직원의 거래에 +2를 적용합니다.
GS_Fishmonger_Perk5Title |= 물고기의 속삭임
GS_Fishmonger_Perk5Desc |= 계절 당 1회. 동일한 4성 물고기 5마리를 연속으로 선물하면 '물고기 광란' 이벤트가 발생합니다.

GS_Bakery_BakerDozen01Title |= 베이커스 더즌 1
GS_Bakery_BakerDozen01Desc |= 아침에 만든 3 별 등급 이하의 제빵 제품(계란 및 밀가루 사용)은 생산량이 두 배로 증가합니다.
GS_Bakery_BakerDozen02Title |= 베이커스 더즌 2
GS_Bakery_BakerDozen02Desc |= 아침에 만든 모든 별 등급의 제빵 제품(계란 및 밀가루 사용)은 생산량이 두 배로 증가합니다.
GS_Bakery_AromaMasterTitle |= 아로마 마스터
GS_Bakery_AromaMasterDesc |= 향기 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
GS_Bakery_FreshBreadTitle |= 신선한 빵
GS_Bakery_FreshBreadDesc |= 새벽에 5개 항목을 굽고(계란과 밀가루 사용) 남은 하루 동안 플레이어와 직원의 거래에 +2를 적용합니다.
GS_Bakery_Perk5Title |= 달콤한 유혹
GS_Bakery_Perk5Desc |= 계절 당 1회. 동일한 4성 제빵 아이템 3개를 연속으로 선물하면 '갈망' 이벤트가 발동합니다.

GS_Greengrocer_QualityGoods01Title |= 품질 좋은 상품 1
GS_Greengrocer_QualityGoods01Desc |= 오후에 5별 과일/채소를 먹으면 오후가 끝날 때까지 해당 아이템의 생산량이 늘어납니다.
GS_Greengrocer_QualityGoods02Title |= 품질 좋은 상품 2
GS_Greengrocer_QualityGoods02Desc |= 오후에 3성 과일/채소를 먹으면 오후가 끝날 때까지 해당 아이템의 생산량이 늘어납니다.
GS_Greengrocer_SocialMasterTitle |= 소셜 마스터
GS_Greengrocer_SocialMasterDesc |= 가십 특성을 지닌 직원은 매출 4분의 1에 대해 100% 팁을 얻습니다.
GS_Greengrocer_FreshProduceTitle |= 신선한 농산물
GS_Greengrocer_FreshProduceDesc |= 낫으로 아이템 10개를 수확하면 남은 하루 동안 플레이어와 직원의 거래에 +2가 적용됩니다.
GS_Greengrocer_Perk5Title |= 성장의 즐거움
GS_Greengrocer_Perk5Desc |= 계절 당 1회. 동일한 4별 과일/채소 5개를 선물하면 '땡땡' 이벤트가 발동됩니다.

AP_Herbalist_Botanist01Title |= 식물학자 1
AP_Herbalist_Botanist01Desc |= 동일한 퀼 꽃/허브를 연속으로 따면 수확량이 +1 증가합니다.
AP_Herbalist_Botanist02Title |= 식물학자 2
AP_Herbalist_Botanist02Desc |= 동일한 페이 꽃/허브를 연속으로 따면 수확량이 +1 증가합니다.
AP_Herbalist_HerbMasterTitle |= 허브 마스터
