TASK_EXPIRED_TITLE |= 과제 만료

FEED_PIGS_TITLE |= 돼지 {0} 마리에게 먹이주기
FEED_PIG_TITLE |= 돼지에게 먹이주기
UNCLE_BIRTHDAY_TITLE |= 빌 삼촌을 위한 선물
FEED_CAT_TITLE |= 고양이에게 먹이주기
FEED_CAT_DESC |= 당신의 고양이에게 먹이를 주세요.
FEED_DOG_TITLE |= 개에게 먹이주기
FEED_DOG_DESC |= 당신의 개에게 먹이를 주세요.
FILL_TROUGH_TITLE |= 물통 채우기
PLANT_N_HARVEST_TITLE |= 개의 씨앗을 심고 수확하기
WATER_CROPS_TITLE |= 자라나는 작물에 물주기
WATER_CROPS_DESC |= 물뿌리개를 사용하여 자라나는 작물에 물을 주세요.
COLLECT_HONEY_TITLE |= 꿀 모으기
COLLECT_HONEY_DESC |= 병을 사용하여 벌집에서 꿀을 채취하세요.
FIND_BONE_TITLE |= 개 뼈 찾기
HARVEST_CABBAGES_TITLE |= 양배추 {0} 개 수확하기
MAKE_RECIPE_TITLE |= 조리법을 요리하기
MAKE_RECIPE_DESC |= 재료를 모아 스토브에서 조리법대로 만들어보세요.
PICNIC_TITLE |= 뻐꾸기 숲에서 가족 소풍에 참여하기
PICNIC_DESC |= 정오부터 오후 5시 사이에 가족과 함께 뻐꾸기 숲으로 소풍을 가세요. 고대 우드펠로우 옆의 폭포로 향하세요.
RACING_TITLE |= 드루이다의 교차로에서 돼지 랠리
RACING_DESC |= 돼지를 타고 드루이다의 교차로에 있는 출발 구역으로 이동해 새터웨이를 설정하세요. 모든 고리를 최대한 빨리 통과하여 형제의 최고 기록을 경신하세요. 언제든지 재도전할 수 있습니다.
PICK_DANDELION_TITLE |= 민들레 줍기
BUY_BUCKET_TITLE |= 주석 양동이 구매
KEY_FOR_WEST_GATE_TITLE |= 트러플에서 열쇠 찾아오기
KEY_FOR_WEST_GATE_DESC |= 어떻게든 트러플에서 열쇠를 꺼내세요. 그는 열쇠를 먹었어요.
BUY_SEEDS_TITLE |= 시장에서 씨앗 구입
BUY_SEEDS1 |= 시장에서 씨앗 구입
